map, itemName, x, y
001JH, 一袋糯米, 2478.06, 1668.16
001JH, 一袋牛肉, 2250.85, 2681.77
001JH, 一袋牛肉, 2238.77, 2665.59
001JH, 一袋排骨, 2761.52, 3645.42
001JH, 一袋排骨, 2232.97, 2665.5
001JH, 一袋冬瓜, 2225.67, 2674.9
001JH, 一袋青菜, 2221.08, 2634.26
001JH, 一袋豆豉, 2476.57, 1668.95
001JH, 一袋茶叶, 2750.1, 3656.34
001JH, 一袋茶叶, 2232.44, 2635.04
001JH, 竹笋, 1651.19, 3406.82
001JH, 竹笋, 1656.99, 3412.97
001JH, 竹笋, 1661.27, 3421.73
001JH, 竹笋, 1642.21, 3432.93
001JH, 土豆, 1996.18, 2530.83
001JH, 土豆, 1996.3, 2519.49
001JH, 土豆, 1996.41, 2525.66
001JH, 土豆, 2165.27, 2819.74
001JH, 土豆, 2158.69, 2823.71
001JH, 土豆, 2151.69, 2825.94
001JH, 一袋面粉, 2292.1, 2653.63
001JH, 一袋面粉, 2284.34, 2619.32
001JH, 一袋面粉, 2723.34, 3654.14
002DY, 一袋牛肉, 2998.02, 2263.32
002DY, 香菇, 1540.78, 533.69
002DY, 香菇, 1535.1, 553.01
002DY, 竹笋, 1999.48, 1992.62
002DY, 竹笋, 2007.47, 1992.0
002DY, 竹笋, 2006.42, 1990.11
002DY, 竹笋, 2004.54, 1992.96
002DY, 竹笋, 2000.92, 1998.19
002DY, 竹笋, 1998.41, 2001.96
002DY, 竹笋, 2005.34, 1997.01
002DY, 竹笋, 2007.3, 1993.89
002DY, 竹笋, 1625.71, 1938.33
002DY, 竹笋, 1623.1, 1940.67
002DY, 竹笋, 1619.15, 1943.88
002DY, 竹笋, 1612.83, 1949.36
002DY, 竹笋, 1608.78, 1949.61
002DY, 竹笋, 1611.61, 1953.67
002DY, 竹笋, 1603.25, 1954.11
002DY, 竹笋, 1619.81, 1947.84
002DY, 竹笋, 881.91, 2834.1
002DY, 竹笋, 876.53, 2832.54
002DY, 竹笋, 877.56, 2837.77
002DY, 竹笋, 873.7, 2840.3
002DY, 竹笋, 872.13, 2834.22
002DY, 竹笋, 870.34, 2839.49
002DY, 竹笋, 864.76, 2838.94
002DY, 竹笋, 868.28, 2844.05
002DY, 竹笋, 1054.14, 3204.73
002DY, 竹笋, 1058.2, 3201.66
002DY, 竹笋, 1067.65, 3188.37
002DY, 竹笋, 1066.0, 3201.79
002DY, 青菜, 690.51, 3199.85
002DY, 青菜, 693.94, 3180.56
002DY, 青菜, 770.48, 3193.65
002DY, 青菜, 770.42, 3162.71
002DY, 青菜, 919.13, 3147.52
002DY, 青菜, 935.71, 3128.29
002DY, 青菜, 991.12, 3197.99
002DY, 青菜, 1010.54, 3226.49
002DY, 一袋面粉, 2997.57, 2229.3
002DY, 一袋面粉, 2904.73, 2182.15
002DY, 一袋面粉, 2975.17, 2258.8
002DY, 一袋面粉, 1533.03, 2059.87
003HX, 一袋牛肉, 3297.57, 1073.62
003HX, 一袋排骨, 3327.27, 1094.71
003HX, 一袋豆豉, 906.75, 3292.44
003HX, 一袋豆豉, 3300.94, 1165.09
003HX, 一袋豆豉, 2276.92, 2537.85
003HX, 竹笋, 1900.2, 1465.32
003HX, 竹笋, 1909.81, 1462.07
003HX, 竹笋, 1897.92, 1445.08
003HX, 竹笋, 1779.3, 1040.07
003HX, 竹笋, 1773.5, 1042.02
003HX, 竹笋, 1762.15, 1036.21
003HX, 竹笋, 975.39, 685.87
003HX, 竹笋, 984.91, 694.43
003HX, 竹笋, 976.97, 607.81
003HX, 竹笋, 966.49, 612.97
003HX, 竹笋, 1109.74, 2092.38
003HX, 竹笋, 1178.82, 2147.36
003HX, 竹笋, 1234.72, 2118.9
003HX, 竹笋, 1111.55, 2165.23
003HX, 竹笋, 1139.63, 2099.96
003HX, 青菜, 1536.54, 1674.99
003HX, 青菜, 1540.48, 1678.15
003HX, 青菜, 1537.05, 1669.03
003HX, 青菜, 1539.63, 1670.79
003HX, 青菜, 1537.02, 1663.05
003HX, 青菜, 1543.72, 1671.2
003HX, 青菜, 1533.42, 1655.13
003HX, 青菜, 1538.78, 1658.45
003HX, 青菜, 1921.09, 1087.14
003HX, 青菜, 1918.08, 1083.6
003HX, 青菜, 1915.02, 1081.3
003HX, 青菜, 1917.16, 1076.23
003HX, 青菜, 1922.41, 1075.39
003HX, 青菜, 1920.03, 1079.61
003HX, 青菜, 1911.24, 1077.58
003HX, 青菜, 1924.82, 1079.38
003HX, 一袋面粉, 3287.76, 1133.6
003HX, 一袋面粉, 2624.1, 677.12
003HX, 一袋面粉, 3327.11, 816.12
004YY, 一袋糯米, 3013.99, 2284.94
004YY, 一袋糯米, 2903.43, 2352.68
004YY, 一袋糯米, 2877.25, 2316.47
004YY, 一袋青菜, 2937.93, 2304.66
004YY, 一袋豆豉, 3047.65, 2290.39
004YY, 一袋鲜果, 2877.2, 2372.63
004YY, 一袋茶叶, 2992.63, 2292.24
004YY, 青菜, 1944.03, 1184.56
004YY, 青菜, 1946.79, 1192.19
004YY, 青菜, 1950.96, 1186.33
004YY, 青菜, 1953.6, 1191.73
004YY, 青菜, 1955.06, 1185.05
004YY, 青菜, 1958.02, 1191.74
004YY, 青菜, 1961.11, 1186.61
004YY, 青菜, 1939.78, 1189.43
004YY, 青菜, 1979.8, 1093.88
004YY, 青菜, 1976.63, 1095.88
004YY, 青菜, 1980.6, 1097.86
004YY, 青菜, 1976.71, 1099.48
004YY, 青菜, 1979.7, 1102.4
004YY, 青菜, 1977.72, 1104.15
004YY, 青菜, 1972.9, 1097.11
004YY, 青菜, 1973.59, 1100.54
004YY, 一袋面粉, 2945.45, 2285.64
004YY, 一袋面粉, 3050.03, 2336.42
005BS, 芋头, 1889.8, 3521.53
005BS, 芋头, 1905.01, 3536.3
005BS, 芋头, 1879.61, 3496.28
005BS, 芋头, 1862.14, 3485.53
005BS, 芋头, 1957.51, 3311.42
005BS, 芋头, 1972.28, 3256.83
005BS, 芋头, 1887.99, 3356.15
005BS, 香菇, 1938.3, 905.92
005BS, 香菇, 1936.84, 898.51
005BS, 香菇, 1943.19, 900.2
005BS, 香菇, 1950.52, 904.31
005BS, 香菇, 1938.49, 891.0
005BS, 香菇, 1952.67, 895.22
005BS, 香菇, 1946.26, 890.39
005BS, 香菇, 1956.73, 888.58
005BS, 香菇, 1892.73, 1809.86
005BS, 香菇, 1885.85, 1799.56
005BS, 香菇, 1862.44, 1813.01
005BS, 香菇, 1872.81, 1826.77
005BS, 香菇, 1871.68, 1806.82
005BS, 香菇, 1888.46, 1792.09
005BS, 香菇, 1896.45, 1800.39
005BS, 香菇, 1900.65, 1813.22
005BS, 香菇, 1844.64, 3388.36
005BS, 香菇, 1844.45, 3395.11
005BS, 竹笋, 924.92, 879.83
005BS, 竹笋, 935.02, 891.16
005BS, 竹笋, 486.16, 1434.01
005BS, 竹笋, 502.21, 1434.66
005BS, 竹笋, 485.12, 1448.22
005BS, 竹笋, 599.38, 1284.99
005BS, 竹笋, 600.11, 1274.47
005BS, 土豆, 2087.64, 3291.24
005BS, 土豆, 2082.02, 3300.07
005BS, 土豆, 2085.1, 3300.01
005BS, 一袋面粉, 1705.31, 2209.48
005BS, 一袋面粉, 3532.16, 1294.32
006JJ, 一袋糯米, 743.12, 1870.23
006JJ, 一袋糯米, 778.87, 1867.55
006JJ, 一袋糯米, 2572.34, 1462.29
006JJ, 一袋糯米, 998.59, 2310.25
006JJ, 一袋牛肉, 721.23, 1870.1
006JJ, 一袋豆豉, 1843.4, 1390.28
006JJ, 一袋鲜果, 655.64, 1905.41
007ZW, 一袋牛肉, 2097.83, 2139.79
007ZW, 一袋排骨, 2117.41, 2168.8
007ZW, 一袋冬瓜, 2027.98, 2237.06
007ZW, 一袋青菜, 2008.19, 2170.75
007ZW, 一袋鲜果, 2108.99, 2213.89
007ZW, 一袋茶叶, 2104.61, 2229.2
007ZW, 芋头, 2087.34, 1938.7
007ZW, 芋头, 2079.27, 1943.41
007ZW, 芋头, 2089.31, 1946.78
007ZW, 芋头, 2084.82, 1951.85
007ZW, 芋头, 2076.78, 1953.0
007ZW, 芋头, 2091.55, 1955.29
007ZW, 芋头, 2082.23, 1958.55
007ZW, 芋头, 2079.04, 1931.39
007ZW, 芋头, 1285.73, 3165.55
007ZW, 芋头, 1293.88, 3161.49
007ZW, 芋头, 1298.18, 3153.81
007ZW, 芋头, 1288.07, 3156.56
007ZW, 芋头, 1294.07, 3154.59
007ZW, 芋头, 1285.47, 3150.55
007ZW, 芋头, 1292.16, 3147.78
007ZW, 芋头, 1281.73, 3159.7
007ZW, 一袋面粉, 345.39, 3134.44
007ZW, 一袋面粉, 582.03, 2040.44
007ZW, 一袋面粉, 1376.25, 1054.76
007ZW, 一袋面粉, 1497.4, 657.03
007ZW, 一袋面粉, 2078.98, 2279.61
009GZ, 一袋糯米, 1515.57, 423.76
009GZ, 一袋糯米, 2008.0, 590.3
009GZ, 一袋糯米, 2976.82, 1810.76
009GZ, 一袋糯米, 2640.1, 2410.76
009GZ, 一袋糯米, 1794.03, 1013.26
009GZ, 一袋豆豉, 1526.14, 452.6
009GZ, 一袋豆豉, 2653.74, 2410.73
009GZ, 一袋豆豉, 1793.42, 1012.35
010HZ, 竹笋, 2885.49, 2398.46
010HZ, 竹笋, 2876.14, 2415.2
011JN, 一袋排骨, 2301.91, 2411.22
011JN, 一袋豆豉, 713.3, 2459.08
011JN, 一袋鲜果, 808.02, 2630.11
011JN, 一袋鲜果, 704.74, 2453.91
011JN, 一袋鲜果, 2314.83, 2418.22
011JN, 芋头, 1144.57, 2671.18
011JN, 芋头, 1135.59, 2677.35
011JN, 芋头, 1128.19, 2664.22
011JN, 芋头, 1121.26, 2671.93
011JN, 芋头, 1112.97, 2654.91
011JN, 青菜, 1180.33, 2639.78
011JN, 青菜, 1187.87, 2647.95
011JN, 青菜, 1196.44, 2637.59
011JN, 青菜, 1202.72, 2647.69
011JN, 青菜, 1171.93, 2646.2
011JN, 一袋面粉, 821.5, 2613.66
011JN, 一袋面粉, 771.46, 2622.62
012KF, 一袋糯米, 1615.62, 1235.95
012KF, 一袋糯米, 2310.43, 336.79
012KF, 一袋糯米, 1475.11, 884.17
012KF, 一袋牛肉, 1616.52, 1236.04
012KF, 一袋排骨, 1616.42, 1237.23
012KF, 芋头, 1648.77, 1505.15
012KF, 芋头, 1651.87, 1512.6
012KF, 芋头, 1641.88, 1517.45
012KF, 芋头, 1655.55, 1522.35
012KF, 芋头, 1648.84, 1529.18
012KF, 芋头, 1665.01, 1524.78
012KF, 芋头, 1661.87, 1530.68
012KF, 芋头, 1655.54, 1538.36
012KF, 芋头, 1280.78, 1869.82
012KF, 芋头, 1286.76, 1869.41
012KF, 芋头, 1285.37, 1875.56
012KF, 芋头, 1282.71, 1882.21
012KF, 芋头, 1294.06, 1884.56
012KF, 芋头, 1294.23, 1875.85
012KF, 芋头, 1281.57, 1861.27
012KF, 芋头, 1273.46, 1874.59
012KF, 土豆, 2123.78, 242.54
012KF, 土豆, 2130.35, 240.21
012KF, 土豆, 2137.66, 237.19
013XH, 一袋糯米, 1373.61, 1148.97
013XH, 一袋糯米, 1808.16, 2422.84
013XH, 一袋糯米, 1809.49, 2427.77
013XH, 一袋糯米, 1429.74, 1988.48
013XH, 一袋糯米, 1173.88, 1871.93
013XH, 一袋糯米, 1174.7, 1871.74
013XH, 一袋冬瓜, 1913.49, 1781.14
013XH, 一袋青菜, 1929.28, 1793.0
013XH, 一袋豆豉, 1440.57, 2004.37
013XH, 一袋茶叶, 1965.75, 1791.72
013XH, 香菇, 1419.54, 945.34
013XH, 香菇, 1412.63, 947.2
013XH, 香菇, 1409.15, 955.28
013XH, 香菇, 1423.52, 936.45
013XH, 香菇, 1407.12, 947.09
013XH, 香菇, 1404.01, 954.29
013XH, 香菇, 1399.55, 948.54
013XH, 香菇, 1394.13, 953.1
013XH, 香菇, 1406.73, 1184.28
013XH, 香菇, 1398.23, 1185.33
013XH, 香菇, 1404.49, 1178.55
013XH, 香菇, 1411.98, 1176.33
013XH, 香菇, 1420.54, 1180.97
013XH, 香菇, 1416.71, 1189.14
013XH, 香菇, 1408.68, 1192.9
013XH, 香菇, 1411.56, 1186.88
013XH, 一袋面粉, 1895.69, 1945.41
013XH, 一袋面粉, 2486.37, 1806.75
21HHZ, 一袋糯米, 378.54, 877.43
21HHZ, 一袋糯米, 370.91, 917.8
