id, id2, , , , , , , , , , , , , , , , , , , , , , , , , desc,
210100101, 210100101, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100102, 210100102, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100103, 210100103, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100104, 210100104, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100105, 210100105, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100106, 210100106, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100107, 210100107, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100108, 210100108, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100109, 210100109, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100110, 210100110, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100121, 210100121, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100122, 210100122, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100123, 210100123, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100124, 210100124, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100125, 210100125, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100126, 210100126, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100127, 210100127, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100128, 210100128, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100129, 210100129, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
210100130, 210100130, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001401, 1001401, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001402, 1001402, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001403, 1001403, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001404, 1001404, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001405, 1001405, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001406, 1001406, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001407, 1001407, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001408, 1001408, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001409, 1001409, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001410, 1001410, 0, [69], 3, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001501, 1001501, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001502, 1001502, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001503, 1001503, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001504, 1001504, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001505, 1001505, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001506, 1001506, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001507, 1001507, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
1001508, 1001508, 0, [69], 2, 0, 2101001##, , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0, 0, 0, None, 0.0, [], [], [], None, EmbeddedObj, ,
