gemIdWithLevel, gemName, v1, v2, v3, v4, v5, v6, v7, v8, gemRootId, gemLevel, usageDes, propDes, v9, imgName, v10, gemNeedExp, v11, v12, v13, v14, v15, v16, v17, v18, v19, v20, v21, v22, v23, v24, v25, v26, v27, v28, v29, v30, v31, v32, v33, v34, v35, v36, v37, v38, v39, v40, v41, v42, v43, v44, v45, v46, v47, v48, v49, v50, v51, v52, v53, 5v4, v55, v56, v57, v58, v59, v60,
65001, 精纯石母, 3, 0, 0, 0, 0, 0, , 0, 65001, 1, 可用于砭石培养的材料，提供1000点砭石经验。, 砭石经验+1000, 1, ICON_63_BIANSHI_EXP_QUALITY_2, 1, 1000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
65002, 劫火石母, 3, 0, 0, 0, 0, 0, , 0, 65002, 1, 可用于砭石培养的材料，提供10000点砭石经验。, 砭石经验+10000, 1, ICON_63_BIANSHI_EXP_QUALITY_3, 1, 10000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
65003, 玄天石母, 3, 0, 0, 0, 0, 0, , 0, 65003, 1, 可用于砭石培养的材料，提供10万点砭石经验。, 砭石经验+100000, 1, ICON_63_BIANSHI_EXP_QUALITY_4, 1, 100000, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10101, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 1, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+4, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 600, 101, 1, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10102, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 2, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+5, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 900, 101, 1, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10103, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 3, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+6, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 1200, 101, 1, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10104, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 4, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+7, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 1500, 101, 2, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10105, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 5, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+8, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 1800, 101, 3, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10106, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 6, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+9, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 2100, 101, 4, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10107, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 7, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+10, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 2400, 101, 5, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10108, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 8, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+11, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 2700, 101, 6, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10109, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 9, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+12, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 3000, 101, 7, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10110, 天攻小石·一, 0, 0, 1, 0, 0, 0, , 0, 10101, 10, 左键拖拽砭石至奇穴可完成冲穴。, 外功攻击+13, 1, ICON_63_BIANSHI_ATK_WaiGongGongJi_QUALITY_1, 1, 3750, 101, 8, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
