level, position, waigongMin, waigongMax, neigongMin, neigongMax, waifang, hp, mp,
1, 4, 0, 0, 0, 0, 5, 20, 0, 
2, 4, 0, 0, 0, 0, 10, 40, 0, 
3, 4, 0, 0, 0, 0, 15, 60, 0, 
4, 4, 0, 0, 0, 0, 20, 80, 0, 
5, 4, 0, 0, 0, 0, 25, 100, 0, 
6, 4, 0, 0, 0, 0, 30, 120, 0, 
7, 4, 0, 0, 0, 0, 35, 140, 0, 
8, 4, 0, 0, 0, 0, 40, 160, 0, 
9, 4, 0, 0, 0, 0, 45, 180, 0, 
10, 4, 0, 0, 0, 0, 50, 200, 0, 
11, 4, 0, 0, 0, 0, 55, 220, 0, 
12, 4, 0, 0, 0, 0, 60, 240, 0, 
13, 4, 0, 0, 0, 0, 65, 260, 0, 
14, 4, 0, 0, 0, 0, 70, 280, 0, 
15, 4, 0, 0, 0, 0, 75, 300, 0, 
16, 4, 0, 0, 0, 0, 80, 320, 0, 
17, 4, 0, 0, 0, 0, 85, 340, 0, 
18, 4, 0, 0, 0, 0, 90, 360, 0, 
19, 4, 0, 0, 0, 0, 95, 380, 0, 
20, 4, 0, 0, 0, 0, 100, 400, 0, 
21, 4, 0, 0, 0, 0, 105, 420, 0, 
22, 4, 0, 0, 0, 0, 110, 440, 0, 
23, 4, 0, 0, 0, 0, 115, 460, 0, 
24, 4, 0, 0, 0, 0, 120, 480, 0, 
25, 4, 0, 0, 0, 0, 125, 500, 0, 
26, 4, 0, 0, 0, 0, 130, 520, 0, 
27, 4, 0, 0, 0, 0, 135, 540, 0, 
28, 4, 0, 0, 0, 0, 140, 560, 0, 
29, 4, 0, 0, 0, 0, 145, 580, 0, 
30, 4, 0, 0, 0, 0, 150, 600, 0, 
31, 4, 0, 0, 0, 0, 158, 630, 0, 
32, 4, 0, 0, 0, 0, 166, 660, 0, 
33, 4, 0, 0, 0, 0, 174, 690, 0, 
34, 4, 0, 0, 0, 0, 182, 720, 0, 
35, 4, 0, 0, 0, 0, 190, 750, 0, 
36, 4, 0, 0, 0, 0, 198, 780, 0, 
37, 4, 0, 0, 0, 0, 206, 810, 0, 
38, 4, 0, 0, 0, 0, 214, 840, 0, 
39, 4, 0, 0, 0, 0, 222, 870, 0, 
40, 4, 0, 0, 0, 0, 230, 900, 0, 
41, 4, 0, 0, 0, 0, 238, 930, 0, 
42, 4, 0, 0, 0, 0, 246, 960, 0, 
43, 4, 0, 0, 0, 0, 254, 990, 0, 
44, 4, 0, 0, 0, 0, 262, 1020, 0, 
45, 4, 0, 0, 0, 0, 270, 1050, 0, 
46, 4, 0, 0, 0, 0, 278, 1080, 0, 
47, 4, 0, 0, 0, 0, 286, 1110, 0, 
48, 4, 0, 0, 0, 0, 294, 1140, 0, 
49, 4, 0, 0, 0, 0, 302, 1170, 0, 
50, 4, 0, 0, 0, 0, 310, 1200, 0, 
51, 4, 0, 0, 0, 0, 318, 1230, 0, 
52, 4, 0, 0, 0, 0, 326, 1260, 0, 
53, 4, 0, 0, 0, 0, 334, 1290, 0, 
54, 4, 0, 0, 0, 0, 342, 1320, 0, 
55, 4, 0, 0, 0, 0, 350, 1350, 0, 
56, 4, 0, 0, 0, 0, 358, 1380, 0, 
57, 4, 0, 0, 0, 0, 366, 1410, 0, 
58, 4, 0, 0, 0, 0, 374, 1440, 0, 
59, 4, 0, 0, 0, 0, 382, 1470, 0, 
60, 4, 0, 0, 0, 0, 390, 1500, 0, 
61, 4, 0, 0, 0, 0, 398, 1530, 0, 
62, 4, 0, 0, 0, 0, 406, 1560, 0, 
63, 4, 0, 0, 0, 0, 414, 1590, 0, 
64, 4, 0, 0, 0, 0, 422, 1620, 0, 
65, 4, 0, 0, 0, 0, 430, 1650, 0, 
66, 4, 0, 0, 0, 0, 438, 1680, 0, 
67, 4, 0, 0, 0, 0, 446, 1710, 0, 
68, 4, 0, 0, 0, 0, 454, 1740, 0, 
69, 4, 0, 0, 0, 0, 462, 1770, 0, 
70, 4, 0, 0, 0, 0, 470, 1800, 0, 
