level, position, waigongMin, waigongMax, neigongMin, neigongMax, waifang, hp, mp,
1, 12, 2, 2, 0, 0, 0, 0, 0, 
2, 12, 4, 4, 0, 0, 0, 0, 0, 
3, 12, 6, 6, 0, 0, 0, 0, 0, 
4, 12, 8, 8, 0, 0, 0, 0, 0, 
5, 12, 10, 10, 0, 0, 0, 0, 0, 
6, 12, 12, 12, 0, 0, 0, 0, 0, 
7, 12, 14, 14, 0, 0, 0, 0, 0, 
8, 12, 16, 16, 0, 0, 0, 0, 0, 
9, 12, 18, 18, 0, 0, 0, 0, 0, 
10, 12, 20, 20, 0, 0, 0, 0, 0, 
11, 12, 22, 22, 0, 0, 0, 0, 0, 
12, 12, 24, 24, 0, 0, 0, 0, 0, 
13, 12, 26, 26, 0, 0, 0, 0, 0, 
14, 12, 28, 28, 0, 0, 0, 0, 0, 
15, 12, 30, 30, 0, 0, 0, 0, 0, 
16, 12, 32, 32, 0, 0, 0, 0, 0, 
17, 12, 34, 34, 0, 0, 0, 0, 0, 
18, 12, 36, 36, 0, 0, 0, 0, 0, 
19, 12, 38, 38, 0, 0, 0, 0, 0, 
20, 12, 40, 40, 0, 0, 0, 0, 0, 
21, 12, 42, 42, 0, 0, 0, 0, 0, 
22, 12, 44, 44, 0, 0, 0, 0, 0, 
23, 12, 46, 46, 0, 0, 0, 0, 0, 
24, 12, 48, 48, 0, 0, 0, 0, 0, 
25, 12, 50, 50, 0, 0, 0, 0, 0, 
26, 12, 52, 52, 0, 0, 0, 0, 0, 
27, 12, 54, 54, 0, 0, 0, 0, 0, 
28, 12, 56, 56, 0, 0, 0, 0, 0, 
29, 12, 58, 58, 0, 0, 0, 0, 0, 
30, 12, 60, 60, 0, 0, 0, 0, 0, 
31, 12, 63, 63, 0, 0, 0, 0, 0, 
32, 12, 66, 66, 0, 0, 0, 0, 0, 
33, 12, 69, 69, 0, 0, 0, 0, 0, 
34, 12, 72, 72, 0, 0, 0, 0, 0, 
35, 12, 75, 75, 0, 0, 0, 0, 0, 
36, 12, 78, 78, 0, 0, 0, 0, 0, 
37, 12, 81, 81, 0, 0, 0, 0, 0, 
38, 12, 84, 84, 0, 0, 0, 0, 0, 
39, 12, 87, 87, 0, 0, 0, 0, 0, 
40, 12, 90, 90, 0, 0, 0, 0, 0, 
41, 12, 93, 93, 0, 0, 0, 0, 0, 
42, 12, 96, 96, 0, 0, 0, 0, 0, 
43, 12, 99, 99, 0, 0, 0, 0, 0, 
44, 12, 102, 102, 0, 0, 0, 0, 0, 
45, 12, 105, 105, 0, 0, 0, 0, 0, 
46, 12, 108, 108, 0, 0, 0, 0, 0, 
47, 12, 111, 111, 0, 0, 0, 0, 0, 
48, 12, 114, 114, 0, 0, 0, 0, 0, 
49, 12, 117, 117, 0, 0, 0, 0, 0, 
50, 12, 120, 120, 0, 0, 0, 0, 0, 
51, 12, 123, 123, 0, 0, 0, 0, 0, 
52, 12, 126, 126, 0, 0, 0, 0, 0, 
53, 12, 129, 129, 0, 0, 0, 0, 0, 
54, 12, 132, 132, 0, 0, 0, 0, 0, 
55, 12, 135, 135, 0, 0, 0, 0, 0, 
56, 12, 138, 138, 0, 0, 0, 0, 0, 
57, 12, 141, 141, 0, 0, 0, 0, 0, 
58, 12, 144, 144, 0, 0, 0, 0, 0, 
59, 12, 147, 147, 0, 0, 0, 0, 0, 
60, 12, 150, 150, 0, 0, 0, 0, 0, 
61, 12, 153, 153, 0, 0, 0, 0, 0, 
62, 12, 156, 156, 0, 0, 0, 0, 0, 
63, 12, 159, 159, 0, 0, 0, 0, 0, 
64, 12, 162, 162, 0, 0, 0, 0, 0, 
65, 12, 165, 165, 0, 0, 0, 0, 0, 
66, 12, 168, 168, 0, 0, 0, 0, 0, 
67, 12, 171, 171, 0, 0, 0, 0, 0, 
68, 12, 174, 174, 0, 0, 0, 0, 0, 
69, 12, 177, 177, 0, 0, 0, 0, 0, 
70, 12, 180, 180, 0, 0, 0, 0, 0, 
