iId, stItemInfo, enumQuality, nValueLV, nLimitLVMin, nLimitLVMax, szMartialArtDemandArray, JobDemandArray, enumSexDemandArray, nAllianceId, nAllianceDutyArray, nSellCost, nSellMoneyType, nSellItem, nSellItemNum, enumBinding, bTradeBound, bDiscardAble, bSellAble, bMailAble, bBankAble, bPitchAble, bGoldLock, bActiveOpen, bDropGenTransfer, szExplain, szBackground, nMaleItemId, nFmaleItemId, nLoliItemId, UseCondition, nUseNum, OtherClientEffect, enumPreProcessType, dwSkillEffect, eExtraEffectType, nExtraEffectParam, ?, ExpireCronArray, dwCountLimitID, nTransferIDArray, nPackMax, nExtParamType, nTypeParam, ?, fCDLength, nGCDGroupIDArray, fGCDLengthArray, fGCDFactorArray, nEquipCareer, szEquipCareerArray, nJiangXinValue, szPositionArray, szPositionPlaceArray, bSplitAble, bEnhanceAble, bJiangXinAble, bTejiAble, nEnhanceLevelMax, enumDurable, nDurableValue, nATKWaigongMin, nATKWaigongMax, nATKNeigongMin, nATKNeigongMax, nDEFWaigong, nDEFNeigong, nATKDingli, nDEFDingli, nSTR, nSPI, nSTA, nINS, nDEX, nRENJIN, nGLI, nJianxin, nDingliMax, nHpMax, fHitPCT, fDodgePCT, fCritPCT, fCritDamage, nWaigongAvoid, nWaigongAvoidLv, nNeigongAvoid, nNeigongAvoidLv, nWaigongAtkWeakVal, nNeigongAtkWeakVal, nWaigongDefWeakVal, nNeigongDefWeakVal, nDmgEnhanceLv, nCureEffect, Property1, eAttrCond2, nAttrCondParam2, Property2, eAttrCond3, nAttrCondParam3, Property3, nRepairCost, iRepairMaterialIDArray, fRepairUnitMaterialValueArray, nArcherBowTime, nArcherBowKeepTime, nDecoIDArray, nSpellIDArray, nArcherATKMaxLevel, szPackage2D, szTIPS2D, dwDrop3DID, szDropEffectFileName, szAvatar3D_b, szAvatar3D_c, szAvatar3D_d, szAvatar3D_z, szAvatar3DNpcID_b, szAvatar3DNpcID_c, szAvatar3DNpcID_d, szAvatar3DNpcID_z, bIsAvatarOutSide, ddCatDesc, szShopIcon, enumAuctionType, dwItemAudioId, dwSetID, nFurnitureType, nFurnitureStyle, bSellAuction, nXinfaId, eTipProcessType, szSpecialExplain, szSpecialBackground, enumOpenUIType, szFromWhere, szHowToUse, eEquipType, nFarmTypeRequireArray, nFarmBelongerTypeRequireArray, nCropColorRatioLowArray, nCropColorRatioMediumArray, nCropColorRatioHighArray, dwSMBPanelId, sSMBContentScript, sSMBLuaScript, nRecyleQuestId, nDiscardEntityId, nPickScore, nCondSpellIDArray, nCondTypeArray, nCondParamArray, 
6015001, 月影·秀骨, 1, 40, 31, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 2, 7, , 1, 1, 1, 1, 0, 0, 1200, 0, 0, 0, 0, 65, 52, 0, 0, 0, 0, 8, 0, 12, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015002, 月影·绮年, 1, 50, 41, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 2, 7, , 1, 1, 1, 1, 0, 0, 1200, 0, 0, 0, 0, 80, 64, 0, 0, 0, 0, 11, 0, 15, 0, 4, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015003, 月影·艳心, 1, 60, 51, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 4, 7, , 1, 1, 1, 1, 0, 0, 1200, 0, 0, 0, 0, 101, 81, 0, 0, 0, 0, 13, 0, 19, 0, 8, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015004, 月影·明魄, 1, 70, 61, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 6, 7, , 1, 1, 1, 1, 0, 0, 1200, 0, 0, 0, 0, 123, 98, 0, 0, 0, 0, 16, 0, 23, 0, 12, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015005, 月影·孤川, 1, 80, 70, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 8, 7, , 1, 1, 1, 1, 0, 0, 1200, 0, 0, 0, 0, 144, 115, 0, 0, 0, 0, 19, 0, 27, 0, 22, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015006, 月影·无邪, 1, 90, 70, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 7, , 1, 1, 1, 1, 0, 0, 1200, 0, 0, 0, 0, 166, 132, 0, 0, 0, 0, 22, 0, 31, 0, 30, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015007, 环姿·秀骨, 2, 45, 31, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 2, 7, , 1, 1, 1, 1, 0, 0, 1500, 0, 0, 0, 0, 72, 58, 0, 0, 0, 0, 9, 0, 13, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015008, 环姿·绮年, 2, 55, 41, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 2, 7, , 1, 1, 1, 1, 0, 0, 1500, 0, 0, 0, 0, 91, 72, 0, 0, 0, 0, 12, 0, 17, 0, 6, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015009, 环姿·艳心, 2, 65, 51, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 4, 7, , 1, 1, 1, 1, 0, 0, 1500, 0, 0, 0, 0, 112, 90, 0, 0, 0, 0, 15, 0, 21, 0, 10, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6015010, 环姿·明魄, 2, 75, 61, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 6, 7, , 1, 1, 1, 1, 0, 0, 1500, 0, 0, 0, 0, 133, 107, 0, 0, 0, 0, 18, 0, 25, 0, 16, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, , , 0, 0, , , 0, icon_40_equip_undies_M_M_NeiYi_0003, icon_64_equip_undies_M_M_NeiYi_0003, 0, , NPCAVATAR_NeiYi_M_0005, NPCAVATAR_NeiYi_K_0005, NPCAVATAR_NeiYi_F_0005, NPCAVATAR_NeiYi_Z_0001, , , , , 0, 制造装, , 7, 2000002, 0, 0, 0, 1, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
