iId, stItemInfo, enumQuality, nValueLV, nLimitLVMin, nLimitLVMax, szMartialArtDemandArray, JobDemandArray, enumSexDemandArray, nAllianceId, nAllianceDutyArray, nSellCost, nSellMoneyType, nSellItem, nSellItemNum, enumBinding, bTradeBound, bDiscardAble, bSellAble, bMailAble, bBankAble, bPitchAble, bGoldLock, bActiveOpen, bDropGenTransfer, szExplain, szBackground, nMaleItemId, nFmaleItemId, nLoliItemId, UseCondition, nUseNum, OtherClientEffect, enumPreProcessType, dwSkillEffect, eExtraEffectType, nExtraEffectParam, ?, ExpireCronArray, dwCountLimitID, nTransferIDArray, nPackMax, nExtParamType, nTypeParam, ?, fCDLength, nGCDGroupIDArray, fGCDLengthArray, fGCDFactorArray, nEquipCareer, szEquipCareerArray, nJiangXinValue, szPositionArray, szPositionPlaceArray, bSplitAble, bEnhanceAble, bJiangXinAble, bTejiAble, nEnhanceLevelMax, enumDurable, nDurableValue, nATKWaigongMin, nATKWaigongMax, nATKNeigongMin, nATKNeigongMax, nDEFWaigong, nDEFNeigong, nATKDingli, nDEFDingli, nSTR, nSPI, nSTA, nINS, nDEX, nRENJIN, nGLI, nJianxin, nDingliMax, nHpMax, fHitPCT, fDodgePCT, fCritPCT, fCritDamage, nWaigongAvoid, nWaigongAvoidLv, nNeigongAvoid, nNeigongAvoidLv, nWaigongAtkWeakVal, nNeigongAtkWeakVal, nWaigongDefWeakVal, nNeigongDefWeakVal, nDmgEnhanceLv, nCureEffect, Property1, eAttrCond2, nAttrCondParam2, Property2, eAttrCond3, nAttrCondParam3, Property3, nRepairCost, iRepairMaterialIDArray, fRepairUnitMaterialValueArray, nArcherBowTime, nArcherBowKeepTime, nDecoIDArray, nSpellIDArray, nArcherATKMaxLevel, szPackage2D, szTIPS2D, dwDrop3DID, szDropEffectFileName, szAvatar3D_b, szAvatar3D_c, szAvatar3D_d, szAvatar3D_z, szAvatar3DNpcID_b, szAvatar3DNpcID_c, szAvatar3DNpcID_d, szAvatar3DNpcID_z, bIsAvatarOutSide, ddCatDesc, szShopIcon, enumAuctionType, dwItemAudioId, dwSetID, nFurnitureType, nFurnitureStyle, bSellAuction, nXinfaId, eTipProcessType, szSpecialExplain, szSpecialBackground, enumOpenUIType, szFromWhere, szHowToUse, eEquipType, nFarmTypeRequireArray, nFarmBelongerTypeRequireArray, nCropColorRatioLowArray, nCropColorRatioMediumArray, nCropColorRatioHighArray, dwSMBPanelId, sSMBContentScript, sSMBLuaScript, nRecyleQuestId, nDiscardEntityId, nPickScore, nCondSpellIDArray, nCondTypeArray, nCondParamArray, 
6010001, 匠铸·彩金链, 1, 40, 31, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 2, [9], [], 1, 1, 1, 1, 0, 0, 1200, 0, 0, 11, 14, 0, 0, 0, 0, 0, 15, 12, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_jingzhihuangtong_lv01, ICON_64_equip_xianglian_jingzhihuangtong_lv01, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010002, 匠铸·玛瑙链, 1, 50, 41, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 2, [9], [], 1, 1, 1, 1, 0, 0, 1200, 0, 0, 18, 23, 0, 0, 0, 0, 0, 20, 15, 0, 0, 0, 4, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_xiangmanao_lv01, ICON_64_equip_xianglian_xiangmanao_lv01, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010003, 匠铸·明珠链, 1, 60, 51, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 4, [9], [], 1, 1, 1, 1, 0, 0, 1200, 0, 0, 30, 38, 0, 0, 0, 0, 0, 25, 19, 0, 0, 0, 8, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_xiangzhenzhuyin_lv02, ICON_64_equip_xianglian_xiangzhenzhuyin_lv02, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010004, 匠铸·镶宝链, 1, 70, 61, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 6, [9], [], 1, 1, 1, 1, 0, 0, 1200, 0, 0, 42, 53, 0, 0, 0, 0, 0, 30, 23, 0, 0, 0, 12, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 192, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_xiangyuyin_lv02, ICON_64_equip_xianglian_xiangyuyin_lv02, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010005, 匠铸·淬珑链, 1, 80, 70, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 8, [9], [], 1, 1, 1, 1, 0, 0, 1200, 0, 0, 56, 71, 0, 0, 0, 0, 0, 35, 27, 0, 0, 0, 22, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_jingzhixiangyuyin_lv02, ICON_64_equip_xianglian_jingzhixiangyuyin_lv02, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010006, 匠铸·鎏金链, 1, 90, 70, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 9, [9], [], 1, 1, 1, 1, 0, 0, 1200, 0, 0, 76, 95, 0, 0, 0, 0, 0, 40, 31, 0, 0, 0, 30, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 300, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_zhuyujinxianglian_lv02, ICON_64_equip_xianglian_zhuyujinxianglian_lv02, 0, , , , , , , , , , 0, 制造装（弃用）, , 9, 2000007, 0, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010007, 师铸·彩金链, 2, 45, 31, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 2, [9], [], 1, 1, 1, 1, 0, 0, 1500, 0, 0, 14, 18, 0, 0, 0, 0, 0, 17, 13, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_jingzhihuangtong_lv02, ICON_64_equip_xianglian_jingzhihuangtong_lv02, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010008, 师铸·玛瑙链, 2, 55, 41, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 2, [9], [], 1, 1, 1, 1, 0, 0, 1500, 0, 0, 24, 30, 0, 0, 0, 0, 0, 22, 17, 0, 0, 0, 6, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_xiangmanao_lv02, ICON_64_equip_xianglian_xiangmanao_lv02, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010009, 师铸·明珠链, 2, 65, 51, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 4, [9], [], 1, 1, 1, 1, 0, 0, 1500, 0, 0, 36, 45, 0, 0, 0, 0, 0, 28, 21, 0, 0, 0, 10, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_xiangzhenzhuyin_lv03, ICON_64_equip_xianglian_xiangzhenzhuyin_lv03, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6010010, 师铸·镶宝链, 2, 75, 61, 0, [-1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, , 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 6, [9], [], 1, 1, 1, 1, 0, 0, 1500, 0, 0, 48, 60, 0, 0, 0, 0, 0, 35, 26, 0, 0, 0, 16, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, [], [], 0, 0, [], [], 0, ICON_40_equip_xianglian_xiangyuyin_lv03, ICON_64_equip_xianglian_xiangyuyin_lv03, 0, , , , , , , , , , 0, 制造装, , 9, 2000007, 0, 0, 0, 1, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
