iId, stItemInfo, enumQuality, nValueLV, nLimitLVMin, nLimitLVMax, szMartialArtDemandArray, JobDemandArray, enumSexDemandArray, nAllianceId, nAllianceDutyArray, nSellCost, nSellMoneyType, nSellItem, nSellItemNum, enumBinding, bTradeBound, bDiscardAble, bSellAble, bMailAble, bBankAble, bPitchAble, bGoldLock, bActiveOpen, bDropGenTransfer, szExplain, szBackground, nMaleItemId, nFmaleItemId, nLoliItemId, UseCondition, nUseNum, OtherClientEffect, enumPreProcessType, dwSkillEffect, eExtraEffectType, nExtraEffectParam, ?, ExpireCronArray, dwCountLimitID, nTransferIDArray, nPackMax, nExtParamType, nTypeParam, ?, fCDLength, nGCDGroupIDArray, fGCDLengthArray, fGCDFactorArray, nEquipCareer, szEquipCareerArray, nJiangXinValue, szPositionArray, szPositionPlaceArray, bSplitAble, bEnhanceAble, bJiangXinAble, bTejiAble, nEnhanceLevelMax, enumDurable, nDurableValue, nATKWaigongMin, nATKWaigongMax, nATKNeigongMin, nATKNeigongMax, nDEFWaigong, nDEFNeigong, nATKDingli, nDEFDingli, nSTR, nSPI, nSTA, nINS, nDEX, nRENJIN, nGLI, nJianxin, nDingliMax, nHpMax, fHitPCT, fDodgePCT, fCritPCT, fCritDamage, nWaigongAvoid, nWaigongAvoidLv, nNeigongAvoid, nNeigongAvoidLv, nWaigongAtkWeakVal, nNeigongAtkWeakVal, nWaigongDefWeakVal, nNeigongDefWeakVal, nDmgEnhanceLv, nCureEffect, Property1, eAttrCond2, nAttrCondParam2, Property2, eAttrCond3, nAttrCondParam3, Property3, nRepairCost, iRepairMaterialIDArray, fRepairUnitMaterialValueArray, nArcherBowTime, nArcherBowKeepTime, nDecoIDArray, nSpellIDArray, nArcherATKMaxLevel, szPackage2D, szTIPS2D, dwDrop3DID, szDropEffectFileName, szAvatar3D_b, szAvatar3D_c, szAvatar3D_d, szAvatar3D_z, szAvatar3DNpcID_b, szAvatar3DNpcID_c, szAvatar3DNpcID_d, szAvatar3DNpcID_z, bIsAvatarOutSide, ddCatDesc, szShopIcon, enumAuctionType, dwItemAudioId, dwSetID, nFurnitureType, nFurnitureStyle, bSellAuction, nXinfaId, eTipProcessType, szSpecialExplain, szSpecialBackground, enumOpenUIType, szFromWhere, szHowToUse, eEquipType, nFarmTypeRequireArray, nFarmBelongerTypeRequireArray, nCropColorRatioLowArray, nCropColorRatioMediumArray, nCropColorRatioHighArray, dwSMBPanelId, sSMBContentScript, sSMBLuaScript, nRecyleQuestId, nDiscardEntityId, nPickScore, nCondSpellIDArray, nCondTypeArray, nCondParamArray, 
4013001, 小灰马, 1, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“小灰马”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 宝驹追良马，今日试啼声。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100003, 0, 0, 0, 0, 0, 0, 100, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_body_0001_QINGHUA, icon_64_equip_Horse_Horse_body_0001_QINGHUA, 0, , AVATAR_PC_Horse_0003, AVATAR_PC_Horse_0003, AVATAR_PC_Horse_0003, AVATAR_PC_Horse_0003, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013002, 青叶驹, 2, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“青叶驹”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 江湖风波恶，唯伊托死生。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100004, 0, 0, 0, 0, 0, 0, 1000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_body_0001, icon_64_equip_Horse_Horse_body_0001, 0, , AVATAR_PC_Horse_0001, AVATAR_PC_Horse_0001, AVATAR_PC_Horse_0001, AVATAR_PC_Horse_0001, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 1, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013003, 芙蓉儿, 3, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“芙蓉儿”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 花潮烂漫，鬃影徘徊。芙蓉为光，兰蕙为粮。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100005, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_Body_0001_ZAOHONG02, icon_64_equip_Horse_Horse_Body_0001_ZAOHONG02, 0, , AVATAR_PC_Horse_0007, AVATAR_PC_Horse_0007, AVATAR_PC_Horse_0007, AVATAR_PC_Horse_0007, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013004, 北风骓, 3, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“北风骓”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 越鸟南归，霹雳弦惊。鱼龙舞罢，萧萧马鸣。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100005, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_Body_0001_ZAOHONG, icon_64_equip_Horse_Horse_Body_0001_ZAOHONG, 0, , AVATAR_PC_Horse_0006, AVATAR_PC_Horse_0006, AVATAR_PC_Horse_0006, AVATAR_PC_Horse_0006, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013005, 空雪·白公子, 4, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“空雪·白公子”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 自有千金价，宁忘伯乐酬。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100009, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_body_0001_BAI, icon_64_equip_Horse_Horse_body_0001_BAI, 0, , AVATAR_PC_Horse_0002, AVATAR_PC_Horse_0002, AVATAR_PC_Horse_0002, AVATAR_PC_Horse_0002, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013006, 空雪·静深流, 3, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“空雪·静深流”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 静水深流，火石光电。暗夜撕影，人间月明。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100007, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_Body_0001_SHENHEI, icon_64_equip_Horse_Horse_Body_0001_SHENHEI, 0, , AVATAR_PC_Horse_0005, AVATAR_PC_Horse_0005, AVATAR_PC_Horse_0005, AVATAR_PC_Horse_0005, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013007, 空雪·云出川, 3, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“空雪·云出川”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 山回路转，马上空蹄。轻云出雪，繁花若迷。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100006, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_Body_0001_HEIHUA, icon_64_equip_Horse_Horse_Body_0001_HEIHUA, 0, , AVATAR_PC_Horse_0008, AVATAR_PC_Horse_0008, AVATAR_PC_Horse_0008, AVATAR_PC_Horse_0008, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013008, 空雪·乌云团, 3, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“空雪·乌云团”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 何当金络脑，快走踏清秋。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100008, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_body_0001_HEI, icon_64_equip_Horse_Horse_body_0001_HEI, 0, , AVATAR_PC_Horse_0004, AVATAR_PC_Horse_0004, AVATAR_PC_Horse_0004, AVATAR_PC_Horse_0004, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013105, 空雪·白公子, 4, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用后获得“空雪·白公子”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 自有千金价，宁忘伯乐酬。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100009, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_body_0001_BAI, icon_64_equip_Horse_Horse_body_0001_BAI, 0, , AVATAR_PC_Horse_0002, AVATAR_PC_Horse_0002, AVATAR_PC_Horse_0002, AVATAR_PC_Horse_0002, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4013106, 空雪·静深流, 3, 0, 1, 0, -1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 装备后可使用“骑乘”（江湖武学）<br>使用时间：30天<br>使用后获得“空雪·静深流”外装外形。<br>外装需进入衣柜界面进行穿戴操作。, 静水深流，火石光电。暗夜撕影，人间月明。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 2040101$$ 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 29, , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100007, 0, 0, 0, 0, 0, 0, 10000, , , 0, 0, , , 0, icon_40_equip_Horse_Horse_Body_0001_SHENHEI, icon_64_equip_Horse_Horse_Body_0001_SHENHEI, 0, , AVATAR_PC_Horse_0005, AVATAR_PC_Horse_0005, AVATAR_PC_Horse_0005, AVATAR_PC_Horse_0005, , , , , 0, 坐骑, , 27, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
