level, position, waigongMin, waigongMax, neigongMin, neigongMax, waifang, hp, mp,
1, 1, 3, 3, 0, 0, 0, 0, 0, 
2, 1, 6, 6, 0, 0, 0, 0, 0, 
3, 1, 9, 9, 0, 0, 0, 0, 0, 
4, 1, 12, 12, 0, 0, 0, 0, 0, 
5, 1, 15, 15, 0, 0, 0, 0, 0, 
6, 1, 18, 18, 0, 0, 0, 0, 0, 
7, 1, 21, 21, 0, 0, 0, 0, 0, 
8, 1, 24, 24, 0, 0, 0, 0, 0, 
9, 1, 27, 27, 0, 0, 0, 0, 0, 
10, 1, 30, 30, 0, 0, 0, 0, 0, 
11, 1, 33, 33, 0, 0, 0, 0, 0, 
12, 1, 36, 36, 0, 0, 0, 0, 0, 
13, 1, 39, 39, 0, 0, 0, 0, 0, 
14, 1, 42, 42, 0, 0, 0, 0, 0, 
15, 1, 45, 45, 0, 0, 0, 0, 0, 
16, 1, 48, 48, 0, 0, 0, 0, 0, 
17, 1, 51, 51, 0, 0, 0, 0, 0, 
18, 1, 54, 54, 0, 0, 0, 0, 0, 
19, 1, 57, 57, 0, 0, 0, 0, 0, 
20, 1, 60, 60, 0, 0, 0, 0, 0, 
21, 1, 63, 63, 0, 0, 0, 0, 0, 
22, 1, 66, 66, 0, 0, 0, 0, 0, 
23, 1, 69, 69, 0, 0, 0, 0, 0, 
24, 1, 72, 72, 0, 0, 0, 0, 0, 
25, 1, 75, 75, 0, 0, 0, 0, 0, 
26, 1, 78, 78, 0, 0, 0, 0, 0, 
27, 1, 81, 81, 0, 0, 0, 0, 0, 
28, 1, 84, 84, 0, 0, 0, 0, 0, 
29, 1, 87, 87, 0, 0, 0, 0, 0, 
30, 1, 90, 90, 0, 0, 0, 0, 0, 
31, 1, 95, 95, 0, 0, 0, 0, 0, 
32, 1, 100, 100, 0, 0, 0, 0, 0, 
33, 1, 105, 105, 0, 0, 0, 0, 0, 
34, 1, 110, 110, 0, 0, 0, 0, 0, 
35, 1, 115, 115, 0, 0, 0, 0, 0, 
36, 1, 120, 120, 0, 0, 0, 0, 0, 
37, 1, 125, 125, 0, 0, 0, 0, 0, 
38, 1, 130, 130, 0, 0, 0, 0, 0, 
39, 1, 135, 135, 0, 0, 0, 0, 0, 
40, 1, 140, 140, 0, 0, 0, 0, 0, 
41, 1, 145, 145, 0, 0, 0, 0, 0, 
42, 1, 150, 150, 0, 0, 0, 0, 0, 
43, 1, 155, 155, 0, 0, 0, 0, 0, 
44, 1, 160, 160, 0, 0, 0, 0, 0, 
45, 1, 165, 165, 0, 0, 0, 0, 0, 
46, 1, 170, 170, 0, 0, 0, 0, 0, 
47, 1, 175, 175, 0, 0, 0, 0, 0, 
48, 1, 180, 180, 0, 0, 0, 0, 0, 
49, 1, 185, 185, 0, 0, 0, 0, 0, 
50, 1, 190, 190, 0, 0, 0, 0, 0, 
51, 1, 195, 195, 0, 0, 0, 0, 0, 
52, 1, 200, 200, 0, 0, 0, 0, 0, 
53, 1, 205, 205, 0, 0, 0, 0, 0, 
54, 1, 210, 210, 0, 0, 0, 0, 0, 
55, 1, 215, 215, 0, 0, 0, 0, 0, 
56, 1, 220, 220, 0, 0, 0, 0, 0, 
57, 1, 225, 225, 0, 0, 0, 0, 0, 
58, 1, 230, 230, 0, 0, 0, 0, 0, 
59, 1, 235, 235, 0, 0, 0, 0, 0, 
60, 1, 240, 240, 0, 0, 0, 0, 0, 
61, 1, 245, 245, 0, 0, 0, 0, 0, 
62, 1, 250, 250, 0, 0, 0, 0, 0, 
63, 1, 255, 255, 0, 0, 0, 0, 0, 
64, 1, 260, 260, 0, 0, 0, 0, 0, 
65, 1, 265, 265, 0, 0, 0, 0, 0, 
66, 1, 270, 270, 0, 0, 0, 0, 0, 
67, 1, 275, 275, 0, 0, 0, 0, 0, 
68, 1, 280, 280, 0, 0, 0, 0, 0, 
69, 1, 285, 285, 0, 0, 0, 0, 0, 
70, 1, 290, 290, 0, 0, 0, 0, 0, 
