iId, stItemInfo, enumQuality, nValueLV, nLimitLVMin, nLimitLVMax, szMartialArtDemandArray, JobDemandArray, enumSexDemandArray, nAllianceId, nAllianceDutyArray, nSellCost, nSellMoneyType, nSellItem, nSellItemNum, enumBinding, bTradeBound, bDiscardAble, bSellAble, bMailAble, bBankAble, bPitchAble, bGoldLock, bActiveOpen, bDropGenTransfer, szExplain, szBackground, nMaleItemId, nFmaleItemId, nLoliItemId, UseCondition, nUseNum, OtherClientEffect, enumPreProcessType, dwSkillEffect, eExtraEffectType, nExtraEffectParam, ?, ExpireCronArray, dwCountLimitID, nTransferIDArray, nPackMax, nExtParamType, nTypeParam, ?, fCDLength, nGCDGroupIDArray, fGCDLengthArray, fGCDFactorArray, nEquipCareer, szEquipCareerArray, nJiangXinValue, szPositionArray, szPositionPlaceArray, bSplitAble, bEnhanceAble, bJiangXinAble, bTejiAble, nEnhanceLevelMax, enumDurable, nDurableValue, nATKWaigongMin, nATKWaigongMax, nATKNeigongMin, nATKNeigongMax, nDEFWaigong, nDEFNeigong, nATKDingli, nDEFDingli, nSTR, nSPI, nSTA, nINS, nDEX, nRENJIN, nGLI, nJianxin, nDingliMax, nHpMax, fHitPCT, fDodgePCT, fCritPCT, fCritDamage, nWaigongAvoid, nWaigongAvoidLv, nNeigongAvoid, nNeigongAvoidLv, nWaigongAtkWeakVal, nNeigongAtkWeakVal, nWaigongDefWeakVal, nNeigongDefWeakVal, nDmgEnhanceLv, nCureEffect, Property1, eAttrCond2, nAttrCondParam2, Property2, eAttrCond3, nAttrCondParam3, Property3, nRepairCost, iRepairMaterialIDArray, fRepairUnitMaterialValueArray, nArcherBowTime, nArcherBowKeepTime, nDecoIDArray, nSpellIDArray, nArcherATKMaxLevel, szPackage2D, szTIPS2D, dwDrop3DID, szDropEffectFileName, szAvatar3D_b, szAvatar3D_c, szAvatar3D_d, szAvatar3D_z, szAvatar3DNpcID_b, szAvatar3DNpcID_c, szAvatar3DNpcID_d, szAvatar3DNpcID_z, bIsAvatarOutSide, ddCatDesc, szShopIcon, enumAuctionType, dwItemAudioId, dwSetID, nFurnitureType, nFurnitureStyle, bSellAuction, nXinfaId, eTipProcessType, szSpecialExplain, szSpecialBackground, enumOpenUIType, szFromWhere, szHowToUse, eEquipType, nFarmTypeRequireArray, nFarmBelongerTypeRequireArray, nCropColorRatioLowArray, nCropColorRatioMediumArray, nCropColorRatioHighArray, dwSMBPanelId, sSMBContentScript, sSMBLuaScript, nRecyleQuestId, nDiscardEntityId, nPickScore, nCondSpellIDArray, nCondTypeArray, nCondParamArray, 
6104001, 秦川逐雪袍, 0, 1, 1, 0, [1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 飒沓流星剑，白羽没青衫。中原有侠客，一马下冰川。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 0, [4], [], 1, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 8, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_TB_0002, icon_64_equip_coat_M_M_TB_0002, 0, , Armor_TB_M_Tunic_0001, , Armor_TB_F_Tunic_0001, Armor_TB_Z_Tunic_0001, , , , , 0, 新手装, , 4, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6104002, 剑鸣广陌袍, 1, 8, 6, 0, [1], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 锈剑匣中鸣，拭来紫光寒。冰雪何阡陌？回风舞残垣。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 0, [4], [], 1, 0, 0, 0, 0, 0, 1200, 0, 0, 0, 0, 27, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_TB_0011, icon_64_equip_coat_M_M_TB_0011, 0, , Armor_TB_M_Tunic_0002, , Armor_TB_F_Tunic_0002, Armor_TB_Z_Tunic_0002, , , , , 0, 任务装PVE, , 4, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6104003, 剑啸寒川袍, 4, 97, 65, 0, [1], [], [1$$ 2$$ 3], 0, [], 0, 2, 530231, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 长河冻如铁，朔风冷似针。一剑一白马，飞鸿踏雪痕。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 6, [4], [], 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 282, 202, 0, 0, 0, 0, 41, 0, 36, 0, 36, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3840, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_TB_0009, icon_64_equip_coat_M_M_TB_0009, 0, , Armor_TB_M_Tunic_0003, , Armor_TB_F_Tunic_0003, Armor_TB_Z_Tunic_0003, , , , , 0, 稀有装, , 4, 2000002, 61001, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6104004, 秦风唱晚袍, 4, 105, 81, 0, [1], [], [1$$ 2$$ 3], 0, [], 0, 2, 530232, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 秦川何渺渺，落日浅如蓝。迤逦折冰雪，一鞘剑光寒。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 9, [4], [], 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 309, 221, 0, 0, 0, 0, 47, 0, 42, 100, 40, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4800, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_TB_0010, icon_64_equip_coat_M_M_TB_0010, 0, , Armor_TB_M_Tunic_0004, , Armor_TB_F_Tunic_0004, Armor_TB_Z_Tunic_0004, , , , , 0, 稀有装, , 4, 2000002, 61002, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6104005, 朔风吟月袍, 4, 110, 85, 0, [1], [], [1$$ 2$$ 3], 0, [], 0, 2, 531003, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 论武需思量，沉剑长梦萦。归去掩青卷，江湖不留名。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 9, [4], [], 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 326, 233, 0, 0, 0, 0, 52, 0, 47, 150, 44, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_TB_0013, icon_64_equip_coat_M_M_TB_0013, 0, , Armor_TB_M_Tunic_0005, , Armor_TB_F_Tunic_0005, Armor_TB_Z_Tunic_0005, , , , , 0, 稀有装, , 4, 2000002, 61003, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6104006, 孤影极寒袍, 4, 115, 90, 0, [1], [], [1$$ 2$$ 3], 0, [], 0, 2, 532003, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 千山飞鸟渡，冰雪误空船。寒夜惊回风，孤影何时还。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 9, [4], [], 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 344, 246, 0, 0, 0, 0, 61, 0, 56, 200, 46, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_TB_0014, icon_64_equip_coat_M_M_TB_0014, 0, , Armor_TB_M_Tunic_0006, , Armor_TB_F_Tunic_0006, Armor_TB_Z_Tunic_0006, , , , , 0, 稀有装, , 4, 2000002, 61004, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6204001, 燕云飞沙袍, 0, 1, 1, 0, [2], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 罡风卷铁马，大浪吹黄沙。挽弓射夜月，陈兵向天涯。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 0, [4], [], 1, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 8, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_SW_0020, icon_64_equip_coat_M_M_SW_0020, 0, , Armor_SW_M_Tunic_0001, , Armor_SW_F_Tunic_0001, Armor_SW_Z_Tunic_0001, , , , , 0, 新手装, , 4, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6204002, 七月流火袍, 1, 8, 6, 0, [2], [], [1$$ 2$$ 3], 0, [], 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 心宿正中天，流火归岁节。平林长漠漠，征战犹未绝。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 0, [4], [], 1, 0, 0, 0, 0, 0, 1200, 0, 0, 0, 0, 28, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_SW_0013, icon_64_equip_coat_M_M_SW_0013, 0, , Armor_SW_M_Tunic_0002, , Armor_SW_F_Tunic_0002, Armor_SW_Z_Tunic_0002, , , , , 0, 任务装PVE, , 4, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6204003, 勇冠三军袍, 4, 97, 65, 0, [2], [], [1$$ 2$$ 3], 0, [], 0, 2, 530231, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 战甲依然在，千里可穿杨。凝影含清光，铁臂挽神枪。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 6, [4], [], 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 295, 189, 0, 0, 0, 0, 47, 0, 26, 0, 36, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3840, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_SW_0014, icon_64_equip_coat_M_M_SW_0014, 0, , Armor_SW_M_Tunic_0003, , Armor_SW_F_Tunic_0003, Armor_SW_Z_Tunic_0003, , , , , 0, 稀有装, , 4, 2000002, 62001, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
6204004, 扬沙万里袍, 4, 105, 81, 0, [2], [], [1$$ 2$$ 3], 0, [], 0, 2, 530232, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 瀚海白骨枯，飞砂掩旱湖。荒碑不可立，何疆不是墓。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, [20000$$ 40004], 0, 0, [], 0, 0, 0, 0.0, [], [], [], 0, [], 9, [4], [], 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 323, 207, 0, 0, 0, 0, 55, 0, 29, 100, 40, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4800, [], [], 0, 0, [], [], 0, icon_40_equip_coat_M_M_SW_0015, icon_64_equip_coat_M_M_SW_0015, 0, , Armor_SW_M_Tunic_0004, , Armor_SW_F_Tunic_0004, Armor_SW_Z_Tunic_0004, , , , , 0, 稀有装, , 4, 2000002, 62002, 0, 0, 0, 0, 0, , , 0, , , 2, [], [], [], [], [], 0, , , 0, 0, 0, [], [], [], 
