iId, stItemInfo, enumQuality, nValueLV, nLimitLVMin, nLimitLVMax, szMartialArtDemandArray, JobDemandArray, enumSexDemandArray, nAllianceId, nAllianceDutyArray, nSellCost, nSellMoneyType, nSellItem, nSellItemNum, enumBinding, bTradeBound, bDiscardAble, bSellAble, bMailAble, bBankAble, bPitchAble, bGoldLock, bActiveOpen, bDropGenTransfer, szExplain, szBackground, nMaleItemId, nFmaleItemId, nLoliItemId, UseCondition, nUseNum, OtherClientEffect, enumPreProcessType, dwSkillEffect, eExtraEffectType, nExtraEffectParam, ?, ExpireCronArray, dwCountLimitID, nTransferIDArray, nPackMax, nExtParamType, nTypeParam, ?, fCDLength, nGCDGroupIDArray, fGCDLengthArray, fGCDFactorArray, nEquipCareer, szEquipCareerArray, nJiangXinValue, szPositionArray, szPositionPlaceArray, bSplitAble, bEnhanceAble, bJiangXinAble, bTejiAble, nEnhanceLevelMax, enumDurable, nDurableValue, nATKWaigongMin, nATKWaigongMax, nATKNeigongMin, nATKNeigongMax, nDEFWaigong, nDEFNeigong, nATKDingli, nDEFDingli, nSTR, nSPI, nSTA, nINS, nDEX, nRENJIN, nGLI, nJianxin, nDingliMax, nHpMax, fHitPCT, fDodgePCT, fCritPCT, fCritDamage, nWaigongAvoid, nWaigongAvoidLv, nNeigongAvoid, nNeigongAvoidLv, nWaigongAtkWeakVal, nNeigongAtkWeakVal, nWaigongDefWeakVal, nNeigongDefWeakVal, nDmgEnhanceLv, nCureEffect, Property1, eAttrCond2, nAttrCondParam2, Property2, eAttrCond3, nAttrCondParam3, Property3, nRepairCost, iRepairMaterialIDArray, fRepairUnitMaterialValueArray, nArcherBowTime, nArcherBowKeepTime, nDecoIDArray, nSpellIDArray, nArcherATKMaxLevel, szPackage2D, szTIPS2D, dwDrop3DID, szDropEffectFileName, szAvatar3D_b, szAvatar3D_c, szAvatar3D_d, szAvatar3D_z, szAvatar3DNpcID_b, szAvatar3DNpcID_c, szAvatar3DNpcID_d, szAvatar3DNpcID_z, bIsAvatarOutSide, ddCatDesc, szShopIcon, enumAuctionType, dwItemAudioId, dwSetID, nFurnitureType, nFurnitureStyle, bSellAuction, nXinfaId, eTipProcessType, szSpecialExplain, szSpecialBackground, enumOpenUIType, szFromWhere, szHowToUse, eEquipType, nFarmTypeRequireArray, nFarmBelongerTypeRequireArray, nCropColorRatioLowArray, nCropColorRatioMediumArray, nCropColorRatioHighArray, dwSMBPanelId, sSMBContentScript, sSMBLuaScript, nRecyleQuestId, nDiscardEntityId, nPickScore, nCondSpellIDArray, nCondTypeArray, nCondParamArray, 
6105001, 秦川逐雪腕, 0, 1, 1, 0, 1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 飒沓流星剑，白羽没青衫。中原有侠客，一马下冰川。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 6, , 1, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_TB_0002, icon_64_equip_cuff_M_M_TB_0002, 0, , Armor_TB_M_Cuff_0001, , Armor_TB_F_Cuff_0001, Armor_TB_Z_Cuff_0001, , , , , 0, 新手装, , 6, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, , , , , , 0, , , 0, 0, 0, , , , 
6105002, 剑鸣广陌腕, 1, 8, 7, 0, 1, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 锈剑匣中鸣，拭来紫光寒。冰雪何阡陌？回风舞残垣。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 6, , 1, 0, 0, 0, 0, 0, 1200, 0, 0, 0, 0, 14, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_TB_0011, icon_64_equip_cuff_M_M_TB_0011, 0, , Armor_TB_M_Cuff_0002, , Armor_TB_F_Cuff_0002, Armor_TB_Z_Cuff_0002, , , , , 0, 任务装PVE, , 6, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, , , , , , 0, , , 0, 0, 0, , , , 
6105003, 剑啸寒川腕, 4, 97, 65, 0, 1, , 1$$ 2$$ 3, 0, , 0, 2, 530231, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 长河冻如铁，朔风冷似针。一剑一白马，飞鸿踏雪痕。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 6, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 140, 100, 0, 0, 26, 0, 0, 36, 0, 0, 36, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3840, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_TB_0009, icon_64_equip_cuff_M_M_TB_0009, 0, , Armor_TB_M_Cuff_0003, , Armor_TB_F_Cuff_0003, Armor_TB_Z_Cuff_0003, , , , , 0, 稀有装, , 6, 2000002, 61001, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6105004, 秦风唱晚腕, 4, 105, 81, 0, 1, , 1$$ 2$$ 3, 0, , 0, 2, 530232, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 秦川何渺渺，落日浅如蓝。迤逦折冰雪，一鞘剑光寒。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 154, 111, 0, 0, 29, 0, 0, 42, 0, 0, 40, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4800, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_TB_0010, icon_64_equip_cuff_M_M_TB_0010, 0, , Armor_TB_M_Cuff_0004, , Armor_TB_F_Cuff_0004, Armor_TB_Z_Cuff_0004, , , , , 0, 稀有装, , 6, 2000002, 61002, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6105005, 朔风吟月腕, 4, 110, 85, 0, 1, , 1$$ 2$$ 3, 0, , 0, 2, 531007, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 论武需思量，沉剑长梦萦。归去掩青卷，江湖不留名。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 163, 117, 0, 0, 33, 0, 0, 46, 0, 0, 44, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_TB_0013, icon_64_equip_cuff_M_M_TB_0013, 0, , Armor_TB_M_Cuff_0005, , Armor_TB_F_Cuff_0005, Armor_TB_Z_Cuff_0005, , , , , 0, 稀有装, , 6, 2000002, 61003, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6105006, 孤影极寒腕, 4, 115, 90, 0, 1, , 1$$ 2$$ 3, 0, , 0, 2, 532007, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 千山飞鸟渡，冰雪误空船。寒夜惊回风，孤影何时还。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 172, 123, 0, 0, 38, 0, 0, 54, 0, 0, 46, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_TB_0014, icon_64_equip_cuff_M_M_TB_0014, 0, , Armor_TB_M_Cuff_0006, , Armor_TB_F_Cuff_0006, Armor_TB_Z_Cuff_0006, , , , , 0, 稀有装, , 6, 2000002, 61004, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6205001, 燕云飞沙腕, 0, 1, 1, 0, 2, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 罡风卷铁马，大浪吹黄沙。挽弓射夜月，陈兵向天涯。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 6, , 1, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_SW_0020, icon_64_equip_cuff_M_M_SW_0020, 0, , Armor_SW_M_Cuff_0001, , Armor_SW_F_Cuff_0001, Armor_SW_Z_Cuff_0001, , , , , 0, 新手装, , 6, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, , , , , , 0, , , 0, 0, 0, , , , 
6205002, 七月流火腕, 1, 8, 7, 0, 2, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 心宿正中天，流火归岁节。平林长漠漠，征战犹未绝。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 6, , 1, 0, 0, 0, 0, 0, 1200, 0, 0, 0, 0, 14, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_SW_0013, icon_64_equip_cuff_M_M_SW_0013, 0, , Armor_SW_M_Cuff_0002, , Armor_SW_F_Cuff_0002, Armor_SW_Z_Cuff_0002, , , , , 0, 任务装PVE, , 6, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, , , , , , 0, , , 0, 0, 0, , , , 
6205003, 勇冠三军腕, 4, 97, 65, 0, 2, , 1$$ 2$$ 3, 0, , 0, 2, 530231, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 战甲依然在，千里可穿杨。凝影含清光，铁臂挽神枪。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 6, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 148, 94, 0, 0, 36, 0, 0, 26, 0, 0, 36, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3840, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_SW_0014, icon_64_equip_cuff_M_M_SW_0014, 0, , Armor_SW_M_Cuff_0003, , Armor_SW_F_Cuff_0003, Armor_SW_Z_Cuff_0003, , , , , 0, 稀有装, , 6, 2000002, 62001, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6205004, 扬沙万里腕, 4, 105, 81, 0, 2, , 1$$ 2$$ 3, 0, , 0, 2, 530232, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 瀚海白骨枯，飞砂掩旱湖。荒碑不可立，何疆不是墓。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 162, 103, 0, 0, 42, 0, 0, 29, 0, 0, 40, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4800, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_SW_0015, icon_64_equip_cuff_M_M_SW_0015, 0, , Armor_SW_M_Cuff_0004, , Armor_SW_F_Cuff_0004, Armor_SW_Z_Cuff_0004, , , , , 0, 稀有装, , 6, 2000002, 62002, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6205005, 扬名千秋腕, 4, 110, 85, 0, 2, , 1$$ 2$$ 3, 0, , 0, 2, 531007, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 天龙破阵处，威名万古扬。碧血映丹心，纵死侠骨香。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 171, 109, 0, 0, 52, 0, 0, 36, 0, 0, 44, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_SW_0016, icon_64_equip_cuff_M_M_SW_0016, 0, , Armor_SW_M_Cuff_0005, , Armor_SW_F_Cuff_0005, Armor_SW_Z_Cuff_0005, , , , , 0, 稀有装, , 6, 2000002, 62003, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6205006, 碧血铭沙腕, 4, 115, 90, 0, 2, , 1$$ 2$$ 3, 0, , 0, 2, 532007, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 碧血掩紫陌，白骨嗅黄沙。当年未开国，雕弓射群鸦。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 180, 115, 0, 0, 61, 0, 0, 42, 0, 0, 46, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_SW_0017, icon_64_equip_cuff_M_M_SW_0017, 0, , Armor_SW_M_Cuff_0006, , Armor_SW_F_Cuff_0006, Armor_SW_Z_Cuff_0006, , , , , 0, 稀有装, , 6, 2000002, 62004, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6305001, 醉饮湖湘腕, 0, 1, 1, 0, 3, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 猱身缚长龙，醉眼擒大虫。何曾乞富贵？笑卧江湖中。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 6, , 1, 0, 0, 0, 0, 0, 1000, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, , , 0, 0, , , 0, icon_40_equip_cuff_K_K_GB_0014, icon_64_equip_cuff_K_K_GB_0014, 0, , Armor_GB_M_Cuff_0001, , Armor_GB_F_Cuff_0001, Armor_GB_Z_Cuff_0001, , , , , 0, 新手装, , 6, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, , , , , , 0, , , 0, 0, 0, , , , 
6305002, 侠影疏狂腕, 1, 8, 7, 0, 3, , 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, , 人隐山水中，市井亦降龙。一拳打一腿，天地宽如钟。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 6, , 1, 0, 0, 0, 0, 0, 1200, 0, 0, 0, 0, 14, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, , , 0, 0, , , 0, icon_40_equip_cuff_K_K_GB_0013, icon_64_equip_cuff_K_K_GB_0013, 0, , Armor_GB_M_Cuff_0002, , Armor_GB_F_Cuff_0002, Armor_GB_Z_Cuff_0002, , , , , 0, 任务装PVE, , 6, 2000002, 0, 0, 0, 0, 0, 0, , , 0, , , 1, , , , , , 0, , , 0, 0, 0, , , , 
6305003, 侠骨多情腕, 4, 97, 65, 0, 3, , 1$$ 2$$ 3, 0, , 0, 2, 530231, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 威武不肯屈，富贵不愿淫。醉来不觉醒，犹记我多情。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 6, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 140, 100, 0, 0, 47, 0, 0, 16, 0, 0, 36, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3840, , , 0, 0, , , 0, icon_40_equip_cuff_K_K_GB_0015, icon_64_equip_cuff_K_K_GB_0015, 0, , Armor_GB_M_Cuff_0003, , Armor_GB_F_Cuff_0003, Armor_GB_Z_Cuff_0003, , , , , 0, 稀有装, , 6, 2000002, 63001, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6305004, 醉打西风腕, 4, 105, 81, 0, 3, , 1$$ 2$$ 3, 0, , 0, 2, 530232, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 本装备为PVP装, 饮中有真仙，心远不能闲。江湖独酌夜，西风扑面来。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 154, 111, 0, 0, 55, 0, 0, 18, 0, 0, 40, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4800, , , 0, 0, , , 0, icon_40_equip_cuff_K_K_GB_0016, icon_64_equip_cuff_K_K_GB_0016, 0, , Armor_GB_M_Cuff_0004, , Armor_GB_F_Cuff_0004, Armor_GB_Z_Cuff_0004, , , , , 0, 稀有装, , 6, 2000002, 63002, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6305005, 醉卷黄河腕, 4, 110, 85, 0, 3, , 1$$ 2$$ 3, 0, , 0, 2, 531007, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 肝胆大如斗，脊骨硬如山。天作穹庐被，醉卧黄河边。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 163, 117, 0, 0, 68, 0, 0, 23, 0, 0, 44, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, , , 0, 0, , , 0, icon_40_equip_cuff_K_K_GB_0017, icon_64_equip_cuff_K_K_GB_0017, 0, , Armor_GB_M_Cuff_0005, , Armor_GB_F_Cuff_0005, Armor_GB_Z_Cuff_0005, , , , , 0, 稀有装, , 6, 2000002, 63003, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
6305006, 酩酊风流腕, 4, 115, 90, 0, 3, , 1$$ 2$$ 3, 0, , 0, 2, 532007, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 本装备为PVP装, 胡姬纵歌舞，扰人清宵梦。酩酊醉不得，空窗几度风。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000$$ 40004, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 9, 6, , 1, 1, 1, 1, 0, 0, 2000, 0, 0, 0, 0, 172, 123, 0, 0, 80, 0, 0, 27, 0, 0, 46, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6000, , , 0, 0, , , 0, icon_40_equip_cuff_M_M_GB_0018, icon_64_equip_cuff_M_M_GB_0018, 0, , Armor_GB_M_Cuff_0006, , Armor_GB_F_Cuff_0006, Armor_GB_Z_Cuff_0006, , , , , 0, 稀有装, , 6, 2000002, 63004, 0, 0, 0, 0, 0, , , 0, , , 2, , , , , , 0, , , 0, 0, 0, , , , 
