level, position, waigongMin, waigongMax, neigongMin, neigongMax, waifang, hp, mp,
1, 2, 2, 2, 0, 0, 0, 0, 0, 
2, 2, 4, 4, 0, 0, 0, 0, 0, 
3, 2, 6, 6, 0, 0, 0, 0, 0, 
4, 2, 8, 8, 0, 0, 0, 0, 0, 
5, 2, 10, 10, 0, 0, 0, 0, 0, 
6, 2, 12, 12, 0, 0, 0, 0, 0, 
7, 2, 14, 14, 0, 0, 0, 0, 0, 
8, 2, 16, 16, 0, 0, 0, 0, 0, 
9, 2, 18, 18, 0, 0, 0, 0, 0, 
10, 2, 20, 20, 0, 0, 0, 0, 0, 
11, 2, 22, 22, 0, 0, 0, 0, 0, 
12, 2, 24, 24, 0, 0, 0, 0, 0, 
13, 2, 26, 26, 0, 0, 0, 0, 0, 
14, 2, 28, 28, 0, 0, 0, 0, 0, 
15, 2, 30, 30, 0, 0, 0, 0, 0, 
16, 2, 32, 32, 0, 0, 0, 0, 0, 
17, 2, 34, 34, 0, 0, 0, 0, 0, 
18, 2, 36, 36, 0, 0, 0, 0, 0, 
19, 2, 38, 38, 0, 0, 0, 0, 0, 
20, 2, 40, 40, 0, 0, 0, 0, 0, 
21, 2, 42, 42, 0, 0, 0, 0, 0, 
22, 2, 44, 44, 0, 0, 0, 0, 0, 
23, 2, 46, 46, 0, 0, 0, 0, 0, 
24, 2, 48, 48, 0, 0, 0, 0, 0, 
25, 2, 50, 50, 0, 0, 0, 0, 0, 
26, 2, 52, 52, 0, 0, 0, 0, 0, 
27, 2, 54, 54, 0, 0, 0, 0, 0, 
28, 2, 56, 56, 0, 0, 0, 0, 0, 
29, 2, 58, 58, 0, 0, 0, 0, 0, 
30, 2, 60, 60, 0, 0, 0, 0, 0, 
31, 2, 63, 63, 0, 0, 0, 0, 0, 
32, 2, 66, 66, 0, 0, 0, 0, 0, 
33, 2, 69, 69, 0, 0, 0, 0, 0, 
34, 2, 72, 72, 0, 0, 0, 0, 0, 
35, 2, 75, 75, 0, 0, 0, 0, 0, 
36, 2, 78, 78, 0, 0, 0, 0, 0, 
37, 2, 81, 81, 0, 0, 0, 0, 0, 
38, 2, 84, 84, 0, 0, 0, 0, 0, 
39, 2, 87, 87, 0, 0, 0, 0, 0, 
40, 2, 90, 90, 0, 0, 0, 0, 0, 
41, 2, 93, 93, 0, 0, 0, 0, 0, 
42, 2, 96, 96, 0, 0, 0, 0, 0, 
43, 2, 99, 99, 0, 0, 0, 0, 0, 
44, 2, 102, 102, 0, 0, 0, 0, 0, 
45, 2, 105, 105, 0, 0, 0, 0, 0, 
46, 2, 108, 108, 0, 0, 0, 0, 0, 
47, 2, 111, 111, 0, 0, 0, 0, 0, 
48, 2, 114, 114, 0, 0, 0, 0, 0, 
49, 2, 117, 117, 0, 0, 0, 0, 0, 
50, 2, 120, 120, 0, 0, 0, 0, 0, 
51, 2, 123, 123, 0, 0, 0, 0, 0, 
52, 2, 126, 126, 0, 0, 0, 0, 0, 
53, 2, 129, 129, 0, 0, 0, 0, 0, 
54, 2, 132, 132, 0, 0, 0, 0, 0, 
55, 2, 135, 135, 0, 0, 0, 0, 0, 
56, 2, 138, 138, 0, 0, 0, 0, 0, 
57, 2, 141, 141, 0, 0, 0, 0, 0, 
58, 2, 144, 144, 0, 0, 0, 0, 0, 
59, 2, 147, 147, 0, 0, 0, 0, 0, 
60, 2, 150, 150, 0, 0, 0, 0, 0, 
61, 2, 153, 153, 0, 0, 0, 0, 0, 
62, 2, 156, 156, 0, 0, 0, 0, 0, 
63, 2, 159, 159, 0, 0, 0, 0, 0, 
64, 2, 162, 162, 0, 0, 0, 0, 0, 
65, 2, 165, 165, 0, 0, 0, 0, 0, 
66, 2, 168, 168, 0, 0, 0, 0, 0, 
67, 2, 171, 171, 0, 0, 0, 0, 0, 
68, 2, 174, 174, 0, 0, 0, 0, 0, 
69, 2, 177, 177, 0, 0, 0, 0, 0, 
70, 2, 180, 180, 0, 0, 0, 0, 0, 
