level, position, waigongMin, waigongMax, neigongMin, neigongMax, waifang, hp, mp,
1, 9, 0, 0, 2, 2, 0, 0, 0, 
2, 9, 0, 0, 4, 4, 0, 0, 0, 
3, 9, 0, 0, 6, 6, 0, 0, 0, 
4, 9, 0, 0, 8, 8, 0, 0, 0, 
5, 9, 0, 0, 10, 10, 0, 0, 0, 
6, 9, 0, 0, 12, 12, 0, 0, 0, 
7, 9, 0, 0, 14, 14, 0, 0, 0, 
8, 9, 0, 0, 16, 16, 0, 0, 0, 
9, 9, 0, 0, 18, 18, 0, 0, 0, 
10, 9, 0, 0, 20, 20, 0, 0, 0, 
11, 9, 0, 0, 22, 22, 0, 0, 0, 
12, 9, 0, 0, 24, 24, 0, 0, 0, 
13, 9, 0, 0, 26, 26, 0, 0, 0, 
14, 9, 0, 0, 28, 28, 0, 0, 0, 
15, 9, 0, 0, 30, 30, 0, 0, 0, 
16, 9, 0, 0, 32, 32, 0, 0, 0, 
17, 9, 0, 0, 34, 34, 0, 0, 0, 
18, 9, 0, 0, 36, 36, 0, 0, 0, 
19, 9, 0, 0, 38, 38, 0, 0, 0, 
20, 9, 0, 0, 40, 40, 0, 0, 0, 
21, 9, 0, 0, 42, 42, 0, 0, 0, 
22, 9, 0, 0, 44, 44, 0, 0, 0, 
23, 9, 0, 0, 46, 46, 0, 0, 0, 
24, 9, 0, 0, 48, 48, 0, 0, 0, 
25, 9, 0, 0, 50, 50, 0, 0, 0, 
26, 9, 0, 0, 52, 52, 0, 0, 0, 
27, 9, 0, 0, 54, 54, 0, 0, 0, 
28, 9, 0, 0, 56, 56, 0, 0, 0, 
29, 9, 0, 0, 58, 58, 0, 0, 0, 
30, 9, 0, 0, 60, 60, 0, 0, 0, 
31, 9, 0, 0, 63, 63, 0, 0, 0, 
32, 9, 0, 0, 66, 66, 0, 0, 0, 
33, 9, 0, 0, 69, 69, 0, 0, 0, 
34, 9, 0, 0, 72, 72, 0, 0, 0, 
35, 9, 0, 0, 75, 75, 0, 0, 0, 
36, 9, 0, 0, 78, 78, 0, 0, 0, 
37, 9, 0, 0, 81, 81, 0, 0, 0, 
38, 9, 0, 0, 84, 84, 0, 0, 0, 
39, 9, 0, 0, 87, 87, 0, 0, 0, 
40, 9, 0, 0, 90, 90, 0, 0, 0, 
41, 9, 0, 0, 93, 93, 0, 0, 0, 
42, 9, 0, 0, 96, 96, 0, 0, 0, 
43, 9, 0, 0, 99, 99, 0, 0, 0, 
44, 9, 0, 0, 102, 102, 0, 0, 0, 
45, 9, 0, 0, 105, 105, 0, 0, 0, 
46, 9, 0, 0, 108, 108, 0, 0, 0, 
47, 9, 0, 0, 111, 111, 0, 0, 0, 
48, 9, 0, 0, 114, 114, 0, 0, 0, 
49, 9, 0, 0, 117, 117, 0, 0, 0, 
50, 9, 0, 0, 120, 120, 0, 0, 0, 
51, 9, 0, 0, 123, 123, 0, 0, 0, 
52, 9, 0, 0, 126, 126, 0, 0, 0, 
53, 9, 0, 0, 129, 129, 0, 0, 0, 
54, 9, 0, 0, 132, 132, 0, 0, 0, 
55, 9, 0, 0, 135, 135, 0, 0, 0, 
56, 9, 0, 0, 138, 138, 0, 0, 0, 
57, 9, 0, 0, 141, 141, 0, 0, 0, 
58, 9, 0, 0, 144, 144, 0, 0, 0, 
59, 9, 0, 0, 147, 147, 0, 0, 0, 
60, 9, 0, 0, 150, 150, 0, 0, 0, 
61, 9, 0, 0, 153, 153, 0, 0, 0, 
62, 9, 0, 0, 156, 156, 0, 0, 0, 
63, 9, 0, 0, 159, 159, 0, 0, 0, 
64, 9, 0, 0, 162, 162, 0, 0, 0, 
65, 9, 0, 0, 165, 165, 0, 0, 0, 
66, 9, 0, 0, 168, 168, 0, 0, 0, 
67, 9, 0, 0, 171, 171, 0, 0, 0, 
68, 9, 0, 0, 174, 174, 0, 0, 0, 
69, 9, 0, 0, 177, 177, 0, 0, 0, 
70, 9, 0, 0, 180, 180, 0, 0, 0, 
