level, position, waigongMin, waigongMax, neigongMin, neigongMax, waifang, hp, mp,
1, 0, 5, 5, 0, 0, 0, 0, 0, 
2, 0, 10, 10, 0, 0, 0, 0, 0, 
3, 0, 15, 15, 0, 0, 0, 0, 0, 
4, 0, 20, 20, 0, 0, 0, 0, 0, 
5, 0, 25, 25, 0, 0, 0, 0, 0, 
6, 0, 30, 30, 0, 0, 0, 0, 0, 
7, 0, 35, 35, 0, 0, 0, 0, 0, 
8, 0, 40, 40, 0, 0, 0, 0, 0, 
9, 0, 45, 45, 0, 0, 0, 0, 0, 
10, 0, 50, 50, 0, 0, 0, 0, 0, 
11, 0, 55, 55, 0, 0, 0, 0, 0, 
12, 0, 60, 60, 0, 0, 0, 0, 0, 
13, 0, 65, 65, 0, 0, 0, 0, 0, 
14, 0, 70, 70, 0, 0, 0, 0, 0, 
15, 0, 75, 75, 0, 0, 0, 0, 0, 
16, 0, 80, 80, 0, 0, 0, 0, 0, 
17, 0, 85, 85, 0, 0, 0, 0, 0, 
18, 0, 90, 90, 0, 0, 0, 0, 0, 
19, 0, 95, 95, 0, 0, 0, 0, 0, 
20, 0, 100, 100, 0, 0, 0, 0, 0, 
21, 0, 105, 105, 0, 0, 0, 0, 0, 
22, 0, 110, 110, 0, 0, 0, 0, 0, 
23, 0, 115, 115, 0, 0, 0, 0, 0, 
24, 0, 120, 120, 0, 0, 0, 0, 0, 
25, 0, 125, 125, 0, 0, 0, 0, 0, 
26, 0, 130, 130, 0, 0, 0, 0, 0, 
27, 0, 135, 135, 0, 0, 0, 0, 0, 
28, 0, 140, 140, 0, 0, 0, 0, 0, 
29, 0, 145, 145, 0, 0, 0, 0, 0, 
30, 0, 150, 150, 0, 0, 0, 0, 0, 
31, 0, 158, 158, 0, 0, 0, 0, 0, 
32, 0, 166, 166, 0, 0, 0, 0, 0, 
33, 0, 174, 174, 0, 0, 0, 0, 0, 
34, 0, 182, 182, 0, 0, 0, 0, 0, 
35, 0, 190, 190, 0, 0, 0, 0, 0, 
36, 0, 198, 198, 0, 0, 0, 0, 0, 
37, 0, 206, 206, 0, 0, 0, 0, 0, 
38, 0, 214, 214, 0, 0, 0, 0, 0, 
39, 0, 222, 222, 0, 0, 0, 0, 0, 
40, 0, 230, 230, 0, 0, 0, 0, 0, 
41, 0, 238, 238, 0, 0, 0, 0, 0, 
42, 0, 246, 246, 0, 0, 0, 0, 0, 
43, 0, 254, 254, 0, 0, 0, 0, 0, 
44, 0, 262, 262, 0, 0, 0, 0, 0, 
45, 0, 270, 270, 0, 0, 0, 0, 0, 
46, 0, 278, 278, 0, 0, 0, 0, 0, 
47, 0, 286, 286, 0, 0, 0, 0, 0, 
48, 0, 294, 294, 0, 0, 0, 0, 0, 
49, 0, 302, 302, 0, 0, 0, 0, 0, 
50, 0, 310, 310, 0, 0, 0, 0, 0, 
51, 0, 318, 318, 0, 0, 0, 0, 0, 
52, 0, 326, 326, 0, 0, 0, 0, 0, 
53, 0, 334, 334, 0, 0, 0, 0, 0, 
54, 0, 342, 342, 0, 0, 0, 0, 0, 
55, 0, 350, 350, 0, 0, 0, 0, 0, 
56, 0, 358, 358, 0, 0, 0, 0, 0, 
57, 0, 366, 366, 0, 0, 0, 0, 0, 
58, 0, 374, 374, 0, 0, 0, 0, 0, 
59, 0, 382, 382, 0, 0, 0, 0, 0, 
60, 0, 390, 390, 0, 0, 0, 0, 0, 
61, 0, 398, 398, 0, 0, 0, 0, 0, 
62, 0, 406, 406, 0, 0, 0, 0, 0, 
63, 0, 414, 414, 0, 0, 0, 0, 0, 
64, 0, 422, 422, 0, 0, 0, 0, 0, 
65, 0, 430, 430, 0, 0, 0, 0, 0, 
66, 0, 438, 438, 0, 0, 0, 0, 0, 
67, 0, 446, 446, 0, 0, 0, 0, 0, 
68, 0, 454, 454, 0, 0, 0, 0, 0, 
69, 0, 462, 462, 0, 0, 0, 0, 0, 
70, 0, 470, 470, 0, 0, 0, 0, 0, 
