iId, stItemInfo, enumQuality, nValueLV, nLimitLVMin, nLimitLVMax, szMartialArtDemandArray, JobDemandArray, enumSexDemandArray, nAllianceId, nAllianceDutyArray, nSellCost, nSellMoneyType, nSellItem, nSellItemNum, enumBinding, bTradeBound, bDiscardAble, bSellAble, bMailAble, bBankAble, bPitchAble, bGoldLock, bActiveOpen, bDropGenTransfer, szExplain, szBackground, nMaleItemId, nFmaleItemId, nLoliItemId, UseCondition, nUseNum, OtherClientEffect, enumPreProcessType, dwSkillEffect, eExtraEffectType, nExtraEffectParam, ?, ExpireCronArray, dwCountLimitID, nTransferIDArray, nPackMax, nExtParamType, nTypeParam, ?, fCDLength, nGCDGroupIDArray, fGCDLengthArray, fGCDFactorArray, nEquipCareer, szEquipCareerArray, nJiangXinValue, szPositionArray, szPositionPlaceArray, bSplitAble, bEnhanceAble, bJiangXinAble, bTejiAble, nEnhanceLevelMax, enumDurable, nDurableValue, nATKWaigongMin, nATKWaigongMax, nATKNeigongMin, nATKNeigongMax, nDEFWaigong, nDEFNeigong, nATKDingli, nDEFDingli, nSTR, nSPI, nSTA, nINS, nDEX, nRENJIN, nGLI, nJianxin, nDingliMax, nHpMax, fHitPCT, fDodgePCT, fCritPCT, fCritDamage, nWaigongAvoid, nWaigongAvoidLv, nNeigongAvoid, nNeigongAvoidLv, nWaigongAtkWeakVal, nNeigongAtkWeakVal, nWaigongDefWeakVal, nNeigongDefWeakVal, nDmgEnhanceLv, nCureEffect, Property1, eAttrCond2, nAttrCondParam2, Property2, eAttrCond3, nAttrCondParam3, Property3, nRepairCost, iRepairMaterialIDArray, fRepairUnitMaterialValueArray, nArcherBowTime, nArcherBowKeepTime, nDecoIDArray, nSpellIDArray, nArcherATKMaxLevel, szPackage2D, szTIPS2D, dwDrop3DID, szDropEffectFileName, szAvatar3D_b, szAvatar3D_c, szAvatar3D_d, szAvatar3D_z, szAvatar3DNpcID_b, szAvatar3DNpcID_c, szAvatar3DNpcID_d, szAvatar3DNpcID_z, bIsAvatarOutSide, ddCatDesc, szShopIcon, enumAuctionType, dwItemAudioId, dwSetID, nFurnitureType, nFurnitureStyle, bSellAuction, nXinfaId, eTipProcessType, szSpecialExplain, szSpecialBackground, enumOpenUIType, szFromWhere, szHowToUse, eEquipType, nFarmTypeRequireArray, nFarmBelongerTypeRequireArray, nCropColorRatioLowArray, nCropColorRatioMediumArray, nCropColorRatioHighArray, dwSMBPanelId, sSMBContentScript, sSMBLuaScript, nRecyleQuestId, nDiscardEntityId, nPickScore, nCondSpellIDArray, nCondTypeArray, nCondParamArray, 
4018001, 风雨无阻, 3, 0, 1, 0, -1, 8, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“风雨无阻”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>镖师专属外装<br>获取镖师身份时获得, 镖行五德，使命必达。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cBS_0001b, icon_64_equip_coat_M_M_cBS_0001b, 0, , , , , , NPCAVATAR_SFWZ_BS_M_0001, NPCAVATAR_SFWZ_BS_K_0001, NPCAVATAR_SFWZ_BS_F_0001, NPCAVATAR_SFWZ_BS_Z_0001, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018002, 日夜兼程, 3, 0, 1, 0, -1, 8, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“日夜兼程”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>镖师专属外装<br>镖师玩法获得, 镖行五德，使命必达。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cBS_0002b, icon_64_equip_coat_M_M_cBS_0002b, 0, , , , , , NPCAVATAR_SFWZ_BS_M_0002, NPCAVATAR_SFWZ_BS_K_0002, NPCAVATAR_SFWZ_BS_F_0002, NPCAVATAR_SFWZ_BS_Z_0002, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018003, 山水相逢, 3, 0, 1, 0, -1, 8, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“山水相逢”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>镖师专属外装<br>镖师玩法获得, 镖行五德，使命必达。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cBS_0003b, icon_64_equip_coat_M_M_cBS_0003b, 0, , , , , , NPCAVATAR_SFWZ_BS_M_0003, NPCAVATAR_SFWZ_BS_K_0003, NPCAVATAR_SFWZ_BS_F_0003, NPCAVATAR_SFWZ_BS_Z_0003, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018004, 铁胆昭彰, 3, 0, 1, 0, -1, 4, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“铁胆昭彰”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>捕快专属外装<br>获取捕快身份时获得, 做捕快要清廉。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cPK_0001b, icon_64_equip_coat_M_M_cPK_0001b, 0, , , , , , NPCAVATAR_SFWZ_BK_M_0001, NPCAVATAR_SFWZ_BK_K_0001, NPCAVATAR_SFWZ_BK_F_0001, NPCAVATAR_SFWZ_BK_Z_0001, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018005, 丹心明镜, 3, 0, 1, 0, -1, 4, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“丹心明镜”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>捕快专属外装<br>捕快玩法获得, 做捕快要清廉。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cPK_0002b, icon_64_equip_coat_M_M_cPK_0002b, 0, , , , , , NPCAVATAR_SFWZ_BK_M_0002, NPCAVATAR_SFWZ_BK_K_0002, NPCAVATAR_SFWZ_BK_F_0002, NPCAVATAR_SFWZ_BK_Z_0002, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018006, 天网峥嵘, 3, 0, 1, 0, -1, 4, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“天网峥嵘”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>捕快专属外装<br>捕快玩法获得, 做捕快要清廉。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cPK_0003, icon_64_equip_coat_M_M_cPK_0003, 0, , , , , , NPCAVATAR_SFWZ_BK_M_0003, NPCAVATAR_SFWZ_BK_K_0003, NPCAVATAR_SFWZ_BK_F_0003, NPCAVATAR_SFWZ_BK_Z_0003, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018007, 牵黄擎苍, 3, 0, 1, 0, -1, 7, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“牵黄擎苍”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>猎户专属外装<br>获取猎户身份时获得, 有爱心的好猎户。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cCM_0006b, icon_64_equip_coat_M_M_cCM_0006b, 0, , , , , , NPCAVATAR_SFWZ_LH_M_0001, NPCAVATAR_SFWZ_LH_K_0001, NPCAVATAR_SFWZ_LH_F_0001, NPCAVATAR_SFWZ_LH_Z_0001, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018008, 飞鹰走马, 3, 0, 1, 0, -1, 7, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“飞鹰走马”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>猎户专属外装<br>猎户玩法获得, 有爱心的好猎户。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cCM_0011b, icon_64_equip_coat_M_M_cCM_0011b, 0, , , , , , NPCAVATAR_SFWZ_LH_M_0002, NPCAVATAR_SFWZ_LH_K_0002, NPCAVATAR_SFWZ_LH_F_0002, NPCAVATAR_SFWZ_LH_Z_0002, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018009, 搏虎屠龙, 3, 0, 1, 0, -1, 7, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“搏虎屠龙”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>猎户专属外装<br>猎户玩法获得, 有爱心的好猎户。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cCM_0026, icon_64_equip_coat_M_M_cCM_0026, 0, , , , , , NPCAVATAR_SFWZ_LH_M_0003, NPCAVATAR_SFWZ_LH_K_0003, NPCAVATAR_SFWZ_LH_F_0003, NPCAVATAR_SFWZ_LH_Z_0003, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
4018010, 杀决长夜, 3, 0, 1, 0, -1, 10, 1$$ 2$$ 3, 0, , 0, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 使用后获得“杀决长夜”外装外形。\n外装需进入衣柜界面进行穿戴操作。<br>杀手专属外装<br>获取杀手身份时获得, 以战止战，以杀见杀。, 0, 0, 0, , 0, , 0, 0, 0, 0, 0, 20000, 0, 0, , 0, 0, 0, 0.0, , , , 0, , 0, 18, 16$$ 19$$ 22, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 0, 0, , , 0, icon_40_equip_coat_M_M_cCK_0009b, icon_64_equip_coat_M_M_cCK_0009b, 0, , , , , , NPCAVATAR_SFWZ_CK_M_0001, NPCAVATAR_SFWZ_CK_K_0001, NPCAVATAR_SFWZ_CK_F_0001, NPCAVATAR_SFWZ_CK_Z_0001, 0, , , 17, 2000010, 0, 0, 0, 0, 0, 0, , , 0, , , 0, , , , , , 0, , , 0, 0, 0, , , , 
