fashionId,itemId,suiyin,d,e,f,g,h,i,position,k,weight,
1,4019002,0,0,0,0,0,0, [], waist,1,1, 
2,4019003,0,0,0,0,0,0, [], waist,1,2, 
3,4019004,0,0,0,0,0,0, [], waist,1,3, 
4,4019005,0,0,0,0,0,0, [], waist,1,4, 
5,4019006,0,0,0,0,0,0, [], waist,1,5, 
6,4019007,0,0,0,0,0,0, [], waist,1,6, 
7,4019008,0,0,0,0,0,0, [], waist,1,7, 
8,4019009,0,0,0,0,0,0, [], waist,1,8, 
9,4019010,0,0,0,0,0,0, [], waist,1,9, 
10,4019011,0,0,0,0,0,0, [], waist,1,10, 
11,4019012,0,0,0,0,0,0, [], waist,1,11, 
12,4019013,0,0,0,0,0,0, [], waist,1,12, 
13,4019014,0,0,0,0,0,0, [], waist,1,13, 
14,4019015,0,0,0,0,0,0, [], waist,1,14, 
15,4019016,0,0,0,0,0,0, [], waist,1,15, 
16,4019017,0,0,0,0,0,0, [], waist,1,16, 
17,4019018,0,0,0,0,0,0, [], waist,1,17, 
18,4019019,0,0,0,0,0,0, [], waist,1,18, 
19,4020001,0,0,0,0,0,0, [], back,1,19, 
20,4020002,0,0,0,0,0,0, [], back,1,20, 
21,4020003,0,0,0,0,0,0, [], back,1,21, 
22,4020004,0,0,0,0,0,0, [], back,1,22, 
23,4020005,0,0,0,0,0,0, [], back,1,23, 
24,4020006,0,0,0,0,0,0, [], back,1,24, 
25,4020007,0,0,0,0,0,0, [], back,1,25, 
26,4020008,0,0,0,0,0,0, [], back,1,26, 
27,4020009,0,0,0,0,0,0, [], back,1,27, 
28,4020010,0,0,0,0,0,0, [], back,1,28, 
29,4020011,0,0,0,0,0,0, [], back,1,29, 
30,4020012,0,0,0,0,0,0, [], back,1,30, 
31,4020013,0,0,0,0,0,0, [], back,1,31, 
32,4020014,0,0,0,0,0,0, [], back,1,32, 
33,4020015,0,0,0,0,0,0, [], back,1,33, 
34,4020016,0,0,0,0,0,0, [], back,1,34, 
35,4020017,0,0,0,0,0,0, [], back,1,35, 
36,4020018,0,0,0,0,0,0, [], back,1,36, 
37,4020019,0,0,0,0,0,0, [], back,1,37, 
38,4020020,0,0,0,0,0,0, [], back,1,38, 
39,4020021,0,0,0,0,0,0, [], back,1,39, 
40,4020022,0,0,0,0,0,0, [], back,1,40, 
41,4020023,0,0,0,0,0,0, [], back,1,41, 
42,4020024,0,0,0,0,0,0, [], back,1,42, 
43,4020025,0,0,0,0,0,0, [], back,1,43, 
44,4020026,0,0,0,0,0,0, [], back,1,44, 
45,4020027,0,0,0,0,0,0, [], back,1,45, 
46,4020028,0,0,0,0,0,0, [], back,1,46, 
47,4020029,0,0,0,0,0,0, [], back,1,47, 
48,4020030,0,0,0,0,0,0, [], back,1,48, 
49,4020031,0,0,0,0,0,0, [], back,1,49, 
50,4020032,0,0,0,0,0,0, [], back,1,50, 
51,4020033,0,0,0,0,0,0, [], back,1,51, 
52,4020034,0,0,0,0,0,0, [], back,1,52, 
53,4020035,0,0,0,0,0,0, [], back,1,53, 
54,4020036,0,0,0,0,0,0, [], back,1,54, 
55,4020037,0,0,0,0,0,0, [], back,1,55, 
56,4020038,0,0,0,0,0,0, [], back,1,56, 
57,4020039,0,0,0,0,0,0, [], back,1,57, 
58,4020040,0,0,0,0,0,0, [], back,1,58, 
59,4020041,0,0,0,0,0,0, [], back,1,59, 
60,4020042,0,0,0,0,0,0, [], back,1,60, 
61,4020043,0,0,0,0,0,0, [], back,1,61, 
62,4020044,0,0,0,0,0,0, [], back,1,62, 
63,4020045,0,0,0,0,0,0, [], back,1,63, 
64,4020046,0,0,0,0,0,0, [], back,1,64, 
65,4020047,0,0,0,0,0,0, [], back,1,65, 
66,4019101,0,0,0,0,0,0, [], waist,1,66, 
67,4019201,0,0,0,0,0,0, [], waist,1,67, 
68,4020301,0,0,0,0,0,0, [], back,1,68, 
69,4019401,0,0,0,0,0,0, [], waist,1,69, 
70,4019501,0,0,0,0,0,0, [], waist,1,70, 
140,4020601,0,0,0,0,0,0, [], back,1,71, 
141,4025020,0,0,0,0,0,0, [], head,1,72, 
142,4028020,0,0,0,0,0,0, [], leg,1,73, 
143,4026020,0,0,0,0,0,0, [], body,1,74, 
144,4027020,0,0,0,0,0,0, [], wrist,1,75, 
145,4025021,0,0,0,0,0,0, [], head,1,76, 
146,4028021,0,0,0,0,0,0, [], leg,1,77, 
147,4026021,0,0,0,0,0,0, [], body,1,78, 
148,4027021,0,0,0,0,0,0, [], wrist,1,79, 
149,4025024,0,0,0,0,0,0, [], head,1,80, 
150,4028024,0,0,0,0,0,0, [], leg,1,81, 
151,4026024,0,0,0,0,0,0, [], body,1,82, 
152,4027024,0,0,0,0,0,0, [], wrist,1,83, 
153,4025025,0,0,0,0,0,0, [], head,1,84, 
154,4028025,0,0,0,0,0,0, [], leg,1,85, 
155,4026025,0,0,0,0,0,0, [], body,1,86, 
156,4027025,0,0,0,0,0,0, [], wrist,1,87, 
157,4025031,0,0,0,0,0,0, [], head,1,88, 
158,4028031,0,0,0,0,0,0, [], leg,1,89, 
159,4026031,0,0,0,0,0,0, [], body,1,90, 
160,4027031,0,0,0,0,0,0, [], wrist,1,91, 
161,4025027,420000,0,0,0,0,0, [], head,1,92, 
162,4028027,270000,0,0,0,0,0, [], leg,1,93, 
163,4026027,510000,0,0,0,0,0, [], body,1,94, 
164,4027027,150000,0,0,0,0,0, [], wrist,1,95, 
165,4025051,0,0,0,0,0,0, [], head,1,96, 
166,4026051,0,0,0,0,0,0, [], body,1,97, 
167,4027051,0,0,0,0,0,0, [], wrist,1,98, 
168,4028051,0,0,0,0,0,0, [], leg,1,99, 
299,6021162,1200000,0,0,0,0,0, [], weapon,1,100, 
300,6021165,200,0,0,0,0,0, [], weapon,1,101, 
301,6021166,500,0,0,0,0,0, [], weapon,1,102, 
302,6021167,1000,0,0,0,0,0, [], weapon,1,103, 
303,6021168,1600,0,0,0,0,0, [], weapon,1,104, 
304,6021169,2600,0,0,0,0,0, [], weapon,1,105, 
305,6021170,4200,0,0,0,0,0, [], weapon,1,106, 
306,6021171,9600,0,0,0,0,0, [], weapon,1,107, 
307,6021172,30000,0,0,0,0,0, [], weapon,1,108, 
308,6021173,84000,0,0,0,0,0, [], weapon,1,109, 
309,6021174,300000,0,0,0,0,0, [], weapon,1,110, 
310,6021175,300000,0,0,0,0,0, [], weapon,1,111, 
311,6021176,6400,0,0,0,0,0, [], weapon,1,112, 
312,6021177,14400,0,0,0,0,0, [], weapon,1,113, 
313,6021178,42000,0,0,0,0,0, [], weapon,1,114, 
314,6021179,168000,0,0,0,0,0, [], weapon,1,115, 
315,6021180,600000,0,0,0,0,0, [], weapon,1,116, 
316,6021181,1200000,0,0,0,0,0, [], weapon,1,117, 
317,6021198,10000,0,0,0,0,0, [], weapon,1,118, 
318,6021199,30000,0,0,0,0,0, [], weapon,1,119, 
319,6021200,120000,0,0,0,0,0, [], weapon,1,120, 
320,6021201,450000,0,0,0,0,0, [], weapon,1,121, 
321,6021202,1280000,0,0,0,0,0, [], weapon,1,122, 
322,6021203,160000,0,0,0,0,0, [], weapon,1,123, 
323,6021204,640000,0,0,0,0,0, [], weapon,1,124, 
346,6018001,0,0,0,0,0,0, [], head,1,125, 
347,6018002,0,0,0,0,0,0, [], body,1,126, 
348,6018003,0,0,0,0,0,0, [], wrist,1,127, 
349,6018004,0,0,0,0,0,0, [], leg,1,128, 
350,6018005,0,0,0,0,0,0, [], head,1,129, 
351,6018006,0,0,0,0,0,0, [], body,1,130, 
352,6018007,0,0,0,0,0,0, [], wrist,1,131, 
353,6018008,0,0,0,0,0,0, [], leg,1,132, 
354,6018009,0,0,0,0,0,0, [], head,1,133, 
355,6018010,0,0,0,0,0,0, [], body,1,134, 
356,6018011,0,0,0,0,0,0, [], wrist,1,135, 
357,6018012,0,0,0,0,0,0, [], leg,1,136, 
358,6018013,0,0,0,0,0,0, [], head,1,137, 
359,6018014,0,0,0,0,0,0, [], body,1,138, 
360,6018015,0,0,0,0,0,0, [], wrist,1,139, 
361,6018016,0,0,0,0,0,0, [], leg,1,140, 
