houseId,v2,size,x,y,z,v7,v8,v9,v10,v11,v12,v13,fee,v15,name,v17,community,des,v20,v21,v22,v23,
298,10001,1,49719.81641,179429.1406,12946.99414,4,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№01, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [1019$$ 1020$$ 1020$$ 1020$$ 1020$$ 1020$$ 1020$$ 1020$$ 1021], 
299,10001,2,50630.07031,176671.5938,12946.99414,4,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№01, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
300,10001,2,52168.6875,172867.9531,13161.74609,4,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№02, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
301,10001,1,50800.88672,169409.3125,13084.59668,4,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№02, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
302,10001,1,52379.43359,166856.8125,13217.10449,4,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№03, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
303,10001,1,50924.41797,163144.1406,12977.11328,2,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№04, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
304,10001,2,47781.16016,164202.2969,12620.16797,2,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№03, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
305,10001,3,41681.94922,167917.9688,12134.41797,0,6,1591200,172800,5000000,0,3,500000,1, 九华·豪门№01, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。\n【风水推荐】吊桥与河流形成了“纵横行运”格，大吉。,0,0,1000104, [], 
306,10001,2,41047.28125,172089.125,12134.41797,0,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№04, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
307,10001,3,39555.16406,177021.4375,12641.33301,0,6,1591200,172800,5000000,0,3,500000,1, 九华·豪门№02, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。\n【风水推荐】一桥一河，拦运集气，风水极佳。,0,0,1000104, [], 
308,10001,1,44197.37891,179554.7656,12620.33887,0,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№05, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
309,10001,1,45442.79297,153667.2969,12190.12109,4,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№06, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
310,10001,1,44192.78125,156514.1094,12020.92969,2,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№07, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
311,10001,3,41626.81641,146159.6094,12794.17871,2,6,1591200,172800,5000000,0,3,500000,1, 九华·豪门№03, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。\n【风水推荐】沃野千里，宽广正大，可保一生无忧。,0,0,1000104, [], 
312,10001,1,38229.1875,151563.4375,12236.16309,0,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№08, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
313,10001,1,36848.22656,154383.8594,12157.58594,2,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№09, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
314,10001,2,35128.32813,158026.6875,11986.89746,0,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№05, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
315,10001,2,34284.57813,161896.7188,11954.15039,0,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№06, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
316,10001,2,45632.77344,141169.3594,13491.12109,2,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№07, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
317,10001,2,52198.99219,146688.2656,13863.29102,4,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№08, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
318,10001,1,51685.80859,149277.4531,13863.2998,4,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№10, , JH_07, 叠岭乃九华山峦中最为层叠苍翠、遒劲绵延的一段。此处家园便在叠岭脚下，更有沅江支流夹道，有山有水，山明水秀，最宜居住。,0,0,1000104, [], 
319,10001,1,84982.73438,136757.9844,33475.67578,0,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№11, , JH_08, 高山之上，森林之间，能找出一片平地实属不易。而居住于群山环绕、密林掩映的高处，不仅空气清新，连视野心胸也变得开阔了几多！,0,0,1000105, [], 
320,10001,2,87792.54688,139055.0469,33483.16406,6,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№09, , JH_08, 高山之上，森林之间，能找出一片平地实属不易。而居住于群山环绕、密林掩映的高处，不仅空气清新，连视野心胸也变得开阔了几多！,0,0,1000105, [], 
321,10001,2,88675.57031,127270.9375,30214.08594,0,6,1591200,172800,2000000,0,2,200000,1, 九华·华府№10, , JH_08, 高山之上，森林之间，能找出一片平地实属不易。而居住于群山环绕、密林掩映的高处，不仅空气清新，连视野心胸也变得开阔了几多！,0,0,1000105, [], 
322,10001,1,89037.66406,123495.2422,30140.68359,0,6,1591200,172800,500000,0,1,80000,1, 九华·良宅№12, , JH_08, 高山之上，森林之间，能找出一片平地实属不易。而居住于群山环绕、密林掩映的高处，不仅空气清新，连视野心胸也变得开阔了几多！,0,0,1000105, [], 
