望东海	钱塘港(15572,57998)
平安塔	钱塘港(15315,58464)
环形礁	江洋港(7457,53709)
瞭望塔	江洋港(7183,54180)
望海楼	泉州港(7137,45913)
芳草集	泉州港(7132,46068)
盐田滩	天涯盐场(13337,40440)
熬盐厂	天涯盐场(13397,40379)
小月居	天涯盐场(13287,39913)
军备库	望海岬(21626,49894)
练兵场	望海岬(21658,49976)
瞭望所	望海岬(21807,50024)
猴鹿林	灵鹿岛(27301,56382)
观鸟台	灵鹿岛(27224,56434)
沧海洞	沧浪岛(37920,61027)
沧海台	沧浪岛(37985,60574)
火山温泉	幽灵岛(40219,52025)
流星阵	幽灵岛(40522,51997)
红叶林	宝矿山(52296,54426)
采矿洞	宝矿山(52299,54271)
回峰长廊	琅嬛福地(19225,27372)
密林花海	琅嬛福地(19612,27606)
百果飘香	大沧海(9033,19440)
沧海袭光	大沧海(9483,19710)
玉涡内湖	东海玉涡(23627,11444)
紫颜花坪	东海玉涡(23368,11652)
